Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
F,Flight,4.0,5,187,2.0,high,,4316.0,1
C,Ship,3.0,3,157,4.0,high,2.0,5715.0,1
F,Ship,3.0,4,148,4.0,low,,4249.0,0
A,Ship,6.0,5,298,4.0,medium,5.0,1804.0,0
F,Ship,4.0,2,197,2.0,high,1.0,4977.0,0
F,Flight,5.0,4,197,4.0,high,40.0,3303.0,1
F,Ship,3.0,3,162,3.0,medium,,1901.0,1
F,Flight,2.0,4,274,,low,,4167.0,1
F,Ship,2.0,1,163,,medium,,1119.0,1
F,Flight,5.0,1,198,2.0,medium,,3025.0,1
F,?,7.0,4,270,4.0,medium,5.0,1735.0,0
C,Ship,,2,142,10.0,low,,4280.0,1
A,Flight,4.0,3,169,6.0,medium,,5957.0,1
D,?,,5,182,,high,9.0,5388.0,0
D,Flight,7.0,3,295,,high,,1235.0,0
F,Road,,5,234,2.0,medium,1.0,4455.0,1
A,Ship,3.0,2,255,2.0,high,18.0,3732.0,1
A,Flight,,3,176,3.0,medium,14.0,1705.0,1
D,Road,4.0,4,164,2.0,high,,1949.0,1
D,Road,,2,245,3.0,high,61.0,2188.0,1
A,Ship,3.0,1,171,2.0,high,34.0,1999.0,1
C,Ship,3.0,5,175,,high,40.0,1460.0,1
A,Flight,4.0,2,238,2.0,medium,9.0,4937.0,0
A,Ship,5.0,2,269,5.0,medium,10.0,1113.0,1
A,Ship,3.0,5,143,2.0,high,,4253.0,0
B,Ship,4.0,5,189,,medium,6.0,5439.0,1
C,Ship,,2,158,,medium,,4881.0,0
B,Flight,,3,248,5.0,high,,1093.0,0
F,Ship,5.0,1,186,10.0,high,64.0,2529.0,1
F,Ship,4.0,5,237,5.0,high,,1357.0,1
D,Road,3.0,4,134,3.0,medium,9.0,4230.0,1
F,Ship,4.0,2,265,4.0,medium,,4283.0,1
D,Flight,5.0,3,274,,medium,,1293.0,0
F,Ship,3.0,1,182,2.0,high,,5510.0,1
C,Ship,5.0,2,121,5.0,medium,10.0,4790.0,0
C,Ship,5.0,3,143,3.0,high,6.0,4761.0,1
B,Ship,4.0,2,190,5.0,low,38.0,3022.0,1
A,Flight,5.0,1,274,,medium,,2098.0,1
A,Flight,3.0,5,265,10.0,high,6.0,4380.0,0
C,Road,5.0,5,259,3.0,medium,,4315.0,0
F,Ship,3.0,3,112,4.0,high,,5716.0,1
B,Ship,,4,207,10.0,high,1.0,4602.0,0
F,Flight,3.0,5,125,2.0,high,2.0,4182.0,1
D,Road,2.0,3,128,2.0,medium,,1530.0,1
F,Road,2.0,1,178,3.0,high,6.0,1184.0,1
A,Ship,6.0,1,232,5.0,low,,4345.0,0
F,Flight,4.0,1,102,,medium,,4179.0,0
D,Road,3.0,5,268,4.0,low,,2893.0,1
F,Ship,,1,193,6.0,medium,4.0,5964.0,0
A,Ship,5.0,1,132,4.0,medium,,5461.0,0
D,Ship,3.0,2,226,3.0,high,11.0,3708.0,1
F,?,3.0,2,209,2.0,high,,5713.0,0
F,Flight,5.0,4,97,3.0,medium,,4577.0,0
A,Ship,5.0,4,231,5.0,high,,1247.0,0
F,Ship,4.0,5,156,3.0,high,,1836.0,1
A,Flight,,2,184,4.0,high,,4155.0,1
B,Ship,4.0,2,204,3.0,medium,,3829.0,1
F,Road,3.0,4,200,3.0,high,7.0,5400.0,0
F,Ship,3.0,3,249,3.0,high,55.0,3375.0,1
F,Ship,3.0,4,186,,medium,,5501.0,1
F,Ship,4.0,2,194,8.0,medium,,5995.0,0
C,?,3.0,3,232,2.0,medium,,5544.0,1
F,?,6.0,3,178,5.0,high,,,0
C,Ship,3.0,1,211,3.0,medium,1.0,4889.0,1
F,Ship,5.0,5,266,5.0,medium,7.0,1440.0,0
C,Flight,,3,123,5.0,medium,,4292.0,0
F,Ship,6.0,3,136,3.0,high,,,0
F,Road,3.0,1,160,2.0,high,,5642.0,1
B,Ship,3.0,5,274,3.0,high,3.0,5156.0,0
B,Ship,4.0,3,203,2.0,high,,5597.0,0
F,?,,1,307,,high,,1983.0,0
C,Flight,4.0,4,140,3.0,medium,4.0,1467.0,1
A,Ship,4.0,1,144,4.0,high,8.0,4970.0,0
C,Ship,4.0,2,273,2.0,high,,5608.0,1
F,Ship,4.0,3,163,,high,52.0,1891.0,1
F,Ship,,3,164,4.0,medium,,4257.0,0
D,Road,,4,271,6.0,low,3.0,5204.0,0
F,Ship,,3,212,4.0,high,28.0,2422.0,1
D,Ship,5.0,4,259,5.0,high,4.0,1991.0,1
B,Ship,5.0,3,262,5.0,high,10.0,1197.0,1
C,Ship,5.0,2,265,3.0,high,8.0,5447.0,1
A,Flight,6.0,3,266,4.0,medium,,1547.0,0
C,Ship,3.0,4,267,,high,9.0,5940.0,0
A,Road,3.0,1,149,3.0,medium,,5952.0,1
B,Ship,4.0,5,233,4.0,high,,4705.0,1
C,Ship,5.0,3,243,5.0,high,9.0,1312.0,1
D,?,,1,152,2.0,medium,2.0,4136.0,0
D,Ship,3.0,3,149,4.0,high,,5282.0,0
F,Ship,3.0,1,181,3.0,medium,,3266.0,1
F,Flight,,5,159,2.0,high,,5671.0,0
C,Ship,4.0,4,249,10.0,medium,,4190.0,0
B,Ship,5.0,3,230,3.0,medium,3.0,2923.0,1
F,Road,4.0,3,237,,medium,22.0,2912.0,1
A,Ship,4.0,4,154,3.0,high,,4106.0,1
A,Ship,4.0,1,200,4.0,medium,,5837.0,0
D,Ship,3.0,5,257,3.0,high,,,1
F,?,5.0,2,167,4.0,high,10.0,4325.0,0
F,Ship,3.0,5,174,6.0,high,,5713.0,0
F,Ship,,3,221,2.0,medium,,3120.0,1
D,Ship,4.0,3,275,10.0,medium,,2093.0,1
B,Flight,3.0,2,267,,high,8.0,,0
A,Road,5.0,4,243,5.0,high,,1118.0,0
A,?,,1,271,5.0,high,,1353.0,0
F,Flight,4.0,4,203,3.0,medium,8.0,4443.0,0
B,Flight,4.0,1,254,7.0,high,5.0,4104.0,1
D,Ship,3.0,2,132,3.0,high,56.0,1303.0,1
F,Ship,5.0,3,225,3.0,medium,,2270.0,1
B,Road,5.0,4,249,3.0,low,2.0,4397.0,1
F,Flight,4.0,2,201,8.0,medium,6.0,5128.0,0
F,Road,4.0,4,174,3.0,high,49.0,1141.0,1
F,Ship,,2,146,2.0,medium,4.0,4348.0,1
B,Ship,4.0,2,266,,medium,,5121.0,0
C,Ship,5.0,5,172,2.0,medium,,1446.0,1
C,Ship,3.0,3,207,3.0,high,,3277.0,1
F,Ship,,5,198,2.0,medium,,2820.0,1
A,?,,4,143,5.0,low,,1027.0,1
D,Ship,6.0,3,98,3.0,high,,4651.0,1
F,Ship,,1,112,,medium,9.0,5248.0,1
A,Ship,6.0,4,287,4.0,medium,7.0,1141.0,1
A,Ship,4.0,5,243,3.0,high,,4909.0,0
A,Flight,3.0,5,223,4.0,low,,5042.0,1
F,Ship,3.0,4,148,3.0,high,,5267.0,1
D,Road,4.0,2,149,,high,,4904.0,0
D,Ship,4.0,2,220,3.0,high,,5020.0,0
A,Ship,4.0,4,224,,low,,3145.0,1
A,Road,3.0,3,256,4.0,medium,3.0,,0
F,Flight,,1,140,2.0,high,,,1
B,Ship,4.0,2,200,,medium,45.0,,1
A,Ship,3.0,3,166,3.0,low,,5089.0,1
F,Road,3.0,2,220,,medium,,4555.0,1
F,Ship,3.0,2,238,2.0,high,,2196.0,1
F,Ship,,3,192,2.0,high,,2621.0,1
C,Flight,,2,240,8.0,high,9.0,4908.0,0
A,Ship,4.0,1,216,3.0,high,,,1
F,Road,5.0,1,215,,high,,4700.0,0
C,Flight,6.0,3,269,4.0,high,,1948.0,1
A,Road,3.0,1,180,3.0,low,21.0,1047.0,1
A,Ship,3.0,5,185,2.0,medium,27.0,3624.0,1
D,Ship,3.0,3,245,2.0,medium,,2577.0,1
F,?,3.0,1,121,5.0,high,,1505.0,1
D,Ship,5.0,1,184,3.0,high,,4674.0,1
D,Flight,4.0,4,210,2.0,low,,,0
C,Flight,,3,214,2.0,medium,4.0,3754.0,1
F,Ship,4.0,1,239,5.0,high,1.0,1780.0,1
F,Ship,,5,178,3.0,high,7.0,,0
F,Ship,6.0,2,204,4.0,medium,,4431.0,0
F,Ship,5.0,1,247,5.0,medium,,1842.0,1
D,Ship,,3,249,2.0,medium,3.0,4440.0,0
B,Ship,,4,151,3.0,medium,3.0,4938.0,0
B,Ship,3.0,4,215,3.0,low,5.0,4670.0,1
D,?,4.0,4,146,2.0,medium,,4356.0,0
F,?,3.0,3,150,3.0,medium,,5536.0,0
C,Flight,6.0,5,253,4.0,medium,,1977.0,0
D,Flight,,2,205,3.0,high,2.0,4270.0,0
D,Road,5.0,5,253,6.0,high,1.0,1300.0,0
F,Ship,3.0,3,188,4.0,medium,1.0,4296.0,1
F,Flight,3.0,4,143,3.0,high,,5261.0,0
F,Ship,3.0,4,177,4.0,medium,,1148.0,0
C,Flight,5.0,5,103,6.0,medium,2.0,4860.0,0
F,Ship,4.0,3,136,3.0,medium,20.0,1531.0,1
A,Ship,5.0,4,187,,high,53.0,3172.0,1
F,Ship,3.0,3,222,4.0,high,6.0,5284.0,1
D,Ship,2.0,3,224,,high,5.0,5050.0,0
C,Ship,4.0,4,245,2.0,high,,4297.0,1
B,Road,,5,176,3.0,low,1.0,5096.0,1
D,Ship,3.0,4,148,3.0,medium,7.0,4531.0,0
A,Ship,5.0,3,222,3.0,high,6.0,4744.0,1
A,Ship,3.0,3,274,3.0,medium,3.0,5157.0,0
F,Ship,3.0,2,134,,medium,3.0,5232.0,0
F,Ship,5.0,5,166,3.0,medium,,1267.0,1
D,Ship,4.0,3,239,3.0,high,10.0,4020.0,0
A,Flight,4.0,3,201,3.0,medium,,2487.0,1
D,Ship,6.0,2,256,4.0,high,6.0,1507.0,0
A,Flight,6.0,2,290,4.0,medium,9.0,1339.0,0
A,Ship,5.0,1,236,,medium,,1705.0,0
A,Ship,3.0,2,224,3.0,medium,,5869.0,0
C,Ship,5.0,4,243,3.0,high,,2899.0,1
C,Ship,,1,180,3.0,medium,27.0,1551.0,1
B,Flight,2.0,4,181,4.0,medium,13.0,2309.0,1
D,Flight,,4,225,2.0,low,5.0,5997.0,0
F,Road,4.0,4,280,3.0,medium,5.0,5624.0,0
D,Ship,4.0,2,217,,high,1.0,3133.0,1
F,Ship,3.0,5,147,3.0,high,,5042.0,0
D,Ship,6.0,3,281,3.0,medium,,2135.0,1
F,Ship,3.0,3,167,3.0,?,,1363.0,1
F,Ship,3.0,1,132,3.0,medium,5.0,5978.0,0
B,Ship,,2,275,6.0,medium,9.0,1890.0,0
A,Flight,3.0,1,104,4.0,high,9.0,5211.0,1
C,Ship,,3,262,,high,,,0
F,Flight,4.0,1,259,7.0,medium,,5102.0,0
D,Ship,6.0,5,298,4.0,high,3.0,1009.0,1
B,Ship,3.0,4,273,2.0,medium,5.0,5223.0,0
F,Ship,6.0,1,275,4.0,high,,1228.0,0
A,Road,4.0,1,205,5.0,high,10.0,4944.0,0
A,Road,4.0,1,228,3.0,high,,4678.0,0
F,Ship,2.0,1,111,2.0,low,10.0,1920.0,1
F,?,5.0,1,221,6.0,medium,7.0,1841.0,1
F,?,3.0,5,197,,high,4.0,5423.0,0
F,Ship,4.0,5,254,3.0,high,,4377.0,1
F,Ship,5.0,3,236,4.0,medium,7.0,4308.0,0
D,Ship,4.0,5,209,3.0,medium,4.0,4809.0,0
F,Road,3.0,4,159,3.0,low,4.0,4756.0,1
F,Ship,4.0,4,247,3.0,low,2.0,5324.0,1
A,Road,5.0,1,135,3.0,high,3.0,4939.0,1
F,?,5.0,3,237,4.0,high,8.0,5432.0,0
C,Road,6.0,5,263,7.0,low,,5991.0,1
F,Road,5.0,1,268,3.0,medium,,5663.0,0
A,Ship,3.0,3,206,,high,,5746.0,1
C,Ship,6.0,2,266,4.0,high,,1220.0,0
D,Ship,,4,218,2.0,high,,,0
A,Ship,6.0,4,250,4.0,high,,1969.0,1
D,Ship,,1,247,6.0,high,,1349.0,1
D,Ship,,5,255,,medium,5.0,1458.0,1
D,Ship,,5,272,2.0,medium,,5055.0,1
