Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Discount_offered,Reached.on.Time_Y.N,Warehouse_block_A,Warehouse_block_B,Warehouse_block_C,Warehouse_block_D,Warehouse_block_F,Mode_of_Shipment_Flight,Mode_of_Shipment_Road,Mode_of_Shipment_Ship,Product_importance_high,Product_importance_low,Product_importance_medium
4,4,255,2,29,1,0,0,0,0,1,0,0,1,0,0,1
3,5,152,4,0,0,0,0,0,0,1,0,0,1,0,0,1
3,4,186,2,9,0,0,0,0,0,1,0,0,1,0,0,1
3,5,224,2,0,1,0,0,0,0,1,0,0,1,1,0,0
0,5,136,2,4,0,0,0,1,0,0,0,0,1,0,0,1
3,1,224,0,45,1,0,0,0,1,0,0,1,0,1,0,0
3,1,244,3,1,1,0,1,0,0,0,0,0,1,0,0,1
5,1,252,3,2,0,0,0,0,0,1,0,0,1,0,0,1
5,2,222,3,10,1,0,0,1,0,0,0,1,0,0,0,1
3,2,111,2,4,1,0,0,0,1,0,0,0,1,1,0,0
5,2,248,8,10,0,1,0,0,0,0,0,0,1,1,0,0
3,2,214,4,0,1,0,0,1,0,0,0,0,1,0,0,1
3,4,202,5,0,0,0,0,0,1,0,0,1,0,0,1,0
6,3,241,6,8,1,1,0,0,0,0,0,1,0,0,1,0
0,1,152,3,0,1,0,0,0,0,1,0,0,1,0,1,0
5,4,231,6,3,0,0,1,0,0,0,0,0,1,0,0,1
4,5,174,2,10,0,0,0,0,0,1,0,0,1,1,0,0
5,2,146,3,0,0,1,0,0,0,0,0,0,1,1,0,0
5,3,222,6,0,0,0,0,0,1,0,0,1,0,1,0,0
5,5,272,2,4,0,0,0,0,0,1,0,1,0,1,0,0
3,2,182,2,0,1,0,0,0,1,0,0,0,1,1,0,0
0,4,181,3,10,1,0,0,0,0,1,1,0,0,1,0,0
2,2,173,0,0,1,0,0,1,0,0,0,0,1,0,0,1
0,5,242,2,0,1,0,0,0,0,1,0,0,1,0,0,1
0,2,294,4,0,1,1,0,0,0,0,0,0,1,1,0,0
0,5,139,4,0,1,0,0,0,0,1,0,0,1,0,0,1
3,3,198,2,0,1,0,0,0,0,1,0,0,1,1,0,0
0,2,203,0,0,1,0,0,0,0,1,1,0,0,1,0,0
4,1,269,3,7,1,0,0,1,0,0,0,0,1,1,0,0
6,2,269,4,3,0,1,0,0,0,0,0,0,1,0,0,1
5,1,232,3,10,1,0,1,0,0,0,0,0,1,1,0,0
0,5,141,2,1,1,0,0,1,0,0,0,0,1,1,0,0
3,3,208,5,0,0,0,0,0,1,0,0,0,1,1,0,0
7,1,301,4,6,1,0,0,0,0,1,0,0,1,1,0,0
0,3,197,2,0,1,0,0,0,1,0,0,0,1,1,0,0
0,3,178,3,0,1,1,0,0,0,0,0,0,1,0,0,1
5,3,270,5,9,1,0,1,0,0,0,0,1,0,0,0,1
5,2,130,4,1,0,0,0,0,0,1,1,0,0,0,0,1
3,5,286,6,8,0,0,0,0,1,0,0,0,1,0,1,0
0,3,269,2,0,0,0,0,0,1,0,0,0,1,0,0,1
3,4,254,3,6,0,1,0,0,0,0,0,0,1,0,0,1
0,4,259,2,0,1,0,0,1,0,0,0,0,1,0,0,1
5,2,236,0,0,1,0,0,0,1,0,0,1,0,1,0,0
2,4,226,3,0,1,0,0,0,0,1,0,0,1,1,0,0
3,2,197,4,1,1,0,0,0,0,1,0,0,1,0,0,1
3,4,242,10,5,0,1,0,0,0,0,0,0,1,0,1,0
0,4,189,3,0,0,0,0,0,0,1,0,0,1,0,1,0
3,1,185,0,0,0,0,0,1,0,0,1,0,0,0,0,1
0,5,169,4,0,0,0,0,0,1,0,0,0,1,1,0,0
3,2,208,4,52,1,0,0,1,0,0,0,0,1,0,0,1
0,5,148,8,0,0,1,0,0,0,0,0,1,0,0,0,1
4,1,161,2,41,1,0,0,0,1,0,0,0,1,0,1,0
4,1,158,3,32,1,0,1,0,0,0,0,1,0,1,0,0
3,5,243,3,4,1,0,1,0,0,0,0,0,1,0,0,1
4,3,262,4,2,1,0,0,1,0,0,1,0,0,0,1,0
3,2,201,4,10,0,0,0,0,1,0,0,0,1,0,0,1
4,1,207,2,0,1,0,0,0,0,1,0,1,0,1,0,0
2,1,222,2,58,1,0,0,0,0,1,0,0,1,0,0,1
2,5,148,3,11,1,0,0,0,0,1,0,0,1,0,1,0
0,2,268,3,1,0,0,0,1,0,0,0,1,0,0,0,1
4,4,229,2,45,1,0,1,0,0,0,1,0,0,0,0,1
4,2,199,3,23,1,0,1,0,0,0,1,0,0,1,0,0
4,4,164,4,1,1,0,0,0,0,1,0,1,0,0,0,1
5,5,226,3,50,1,0,0,0,0,1,0,0,1,1,0,0
0,2,156,3,1,0,0,0,1,0,0,0,0,1,1,0,0
5,5,254,5,2,0,0,0,1,0,0,0,0,1,1,0,0
3,2,145,2,0,0,0,0,0,0,1,0,1,0,1,0,0
4,5,150,0,5,0,1,0,0,0,0,0,0,1,1,0,0
5,5,132,0,0,1,0,0,0,0,1,0,0,1,1,0,0
5,1,137,0,0,0,0,0,0,0,1,1,0,0,1,0,0
3,2,199,3,0,1,0,0,0,0,1,0,0,1,0,0,1
2,2,148,3,35,1,0,1,0,0,0,0,1,0,0,1,0
7,1,276,4,8,1,0,0,0,0,1,0,1,0,1,0,0
0,1,146,3,0,1,0,0,0,0,1,0,0,1,0,0,1
3,1,139,3,4,0,1,0,0,0,0,0,1,0,1,0,0
4,3,254,4,0,0,0,0,0,0,1,0,0,1,1,0,0
4,1,256,4,0,0,1,0,0,0,0,0,0,1,0,0,1
0,1,138,2,28,1,0,1,0,0,0,0,0,1,1,0,0
3,3,148,2,0,1,0,1,0,0,0,0,0,1,1,0,0
6,5,290,0,0,1,1,0,0,0,0,0,0,1,0,0,1
4,3,200,0,0,0,0,0,0,0,1,0,0,1,0,0,1
4,3,170,2,3,1,0,0,0,1,0,0,0,1,1,0,0
3,3,152,2,32,1,0,0,0,0,1,0,0,1,1,0,0
4,5,227,5,0,1,0,1,0,0,0,0,0,1,1,0,0
0,3,174,3,0,1,0,0,0,1,0,0,0,1,1,0,0
3,3,239,6,7,1,0,0,0,1,0,0,0,1,1,0,0
3,5,197,3,2,1,0,0,0,1,0,0,0,1,0,0,1
6,5,301,4,0,1,0,1,0,0,0,0,0,1,1,0,0
3,3,240,3,4,1,0,0,0,0,1,0,0,1,1,0,0
5,4,258,0,8,0,0,1,0,0,0,0,0,1,1,0,0
2,5,157,6,17,1,0,1,0,0,0,1,0,0,0,1,0
3,5,222,4,9,0,1,0,0,0,0,0,0,1,0,0,1
2,2,237,5,6,1,0,0,0,1,0,0,0,1,1,0,0
3,1,165,3,1,1,1,0,0,0,0,0,0,1,1,0,0
4,5,252,2,0,1,0,0,0,0,1,0,1,0,0,1,0
0,2,242,0,6,0,0,1,0,0,0,0,0,1,0,0,1
0,3,133,2,0,0,0,0,0,0,1,0,0,1,1,0,0
0,1,184,2,31,1,0,0,0,1,0,1,0,0,1,0,0
0,3,202,3,35,1,0,1,0,0,0,0,0,1,0,0,1
0,5,156,2,8,0,0,0,0,0,1,0,0,1,0,0,1
0,1,242,3,0,1,0,1,0,0,0,0,0,1,0,0,1
5,2,225,0,29,1,0,0,0,1,0,0,1,0,0,0,1
4,5,270,2,0,1,0,0,1,0,0,0,0,1,1,0,0
4,5,180,3,0,0,0,0,0,1,0,0,1,0,0,0,1
4,3,253,5,0,1,0,0,0,0,1,0,0,1,1,0,0
3,3,161,3,24,1,0,0,0,0,1,1,0,0,1,0,0
3,2,170,2,2,1,0,1,0,0,0,0,1,0,1,0,0
0,4,226,6,0,0,0,1,0,0,0,0,0,1,1,0,0
0,3,262,4,1,1,0,0,1,0,0,0,0,1,1,0,0
5,5,134,2,0,1,1,0,0,0,0,0,0,1,0,0,1
2,1,154,3,4,0,0,0,0,1,0,0,1,0,0,0,1
0,2,233,7,5,0,1,0,0,0,0,0,1,0,0,0,1
2,5,181,5,5,0,0,0,1,0,0,0,0,1,0,0,1
0,2,228,3,4,0,1,0,0,0,0,0,0,1,0,0,1
6,1,215,4,1,1,0,0,1,0,0,1,0,0,1,0,0
3,4,148,5,0,1,0,0,0,0,1,0,0,1,0,0,1
4,2,161,3,8,0,0,0,0,0,1,0,0,1,1,0,0
3,5,173,2,14,1,0,0,0,0,1,1,0,0,1,0,0
4,3,223,3,9,0,0,0,0,1,0,0,0,1,0,0,1
3,2,225,3,0,0,0,0,1,0,0,0,0,1,1,0,0
3,2,166,2,6,0,0,1,0,0,0,0,0,1,0,0,1
3,3,200,3,4,1,0,0,1,0,0,0,0,1,1,0,0
0,5,255,4,0,1,0,0,1,0,0,1,0,0,1,0,0
6,1,246,4,0,1,0,0,1,0,0,0,1,0,0,0,1
4,2,184,0,10,0,0,0,0,0,1,0,0,1,0,0,1
4,5,246,6,64,1,0,0,0,0,1,0,0,1,1,0,0
5,1,258,0,0,1,0,0,0,0,1,0,0,1,0,0,1
0,4,263,2,8,0,0,0,0,1,0,0,0,1,0,1,0
0,5,289,4,0,0,1,0,0,0,0,1,0,0,1,0,0
4,5,247,5,9,0,1,0,0,0,0,0,0,1,1,0,0
4,4,209,3,52,1,0,0,0,1,0,0,1,0,0,0,1
3,5,170,3,0,0,0,0,0,0,1,0,1,0,1,0,0
3,4,172,10,0,0,0,1,0,0,0,0,1,0,0,1,0
0,3,191,3,45,1,0,0,0,1,0,0,0,1,0,1,0
3,3,148,5,61,1,0,1,0,0,0,0,0,1,0,0,1
0,4,177,2,0,1,0,0,0,1,0,0,0,1,1,0,0
5,3,208,3,0,1,0,0,0,0,1,0,0,1,0,0,1
0,1,275,3,7,1,0,1,0,0,0,0,0,1,0,0,1
4,2,137,2,2,1,1,0,0,0,0,0,0,1,0,0,1
2,5,190,8,0,1,0,0,1,0,0,0,0,1,0,0,1
4,4,282,6,52,1,0,0,0,0,1,0,0,1,0,0,1
3,3,199,3,0,1,0,0,0,1,0,1,0,0,0,0,1
3,2,163,3,0,0,0,0,1,0,0,0,0,1,0,0,1
5,3,243,3,0,1,0,0,0,0,1,0,0,1,0,0,1
5,2,266,10,9,1,0,0,1,0,0,0,0,1,0,1,0
3,4,190,7,51,1,0,0,0,1,0,0,0,1,0,0,1
4,3,254,5,0,0,0,0,0,0,1,0,0,1,1,0,0
0,1,217,3,0,1,0,0,0,0,1,0,0,1,0,0,1
3,4,140,2,48,1,0,0,0,1,0,0,0,1,0,0,1
3,1,220,0,6,0,0,0,1,0,0,0,0,1,0,0,1
4,5,154,3,9,0,1,0,0,0,0,1,0,0,0,0,1
4,5,145,0,2,1,1,0,0,0,0,0,0,1,1,0,0
4,1,252,3,0,1,0,0,0,1,0,0,0,1,0,0,1
4,2,223,3,0,0,0,0,0,0,1,0,0,1,0,1,0
3,2,219,0,6,1,0,0,0,0,1,1,0,0,1,0,0
4,2,136,3,65,1,0,0,0,1,0,1,0,0,1,0,0
3,3,218,2,0,1,0,0,0,1,0,0,1,0,0,0,1
5,2,246,5,0,1,1,0,0,0,0,0,0,1,1,0,0
5,1,217,2,9,0,0,0,0,0,1,0,1,0,1,0,0
4,3,198,7,0,0,0,1,0,0,0,0,0,1,0,0,1
4,5,187,2,0,1,0,0,0,0,1,1,0,0,1,0,0
3,3,157,4,2,1,0,0,1,0,0,0,0,1,1,0,0
3,4,148,4,0,0,0,0,0,0,1,0,0,1,0,1,0
6,5,298,4,5,0,1,0,0,0,0,0,0,1,0,0,1
4,2,197,2,1,0,0,0,0,0,1,0,0,1,1,0,0
5,4,197,4,40,1,0,0,0,0,1,1,0,0,1,0,0
3,3,162,3,0,1,0,0,0,0,1,0,0,1,0,0,1
2,4,274,0,0,1,0,0,0,0,1,1,0,0,0,1,0
2,1,163,0,0,1,0,0,0,0,1,0,0,1,0,0,1
5,1,198,2,0,1,0,0,0,0,1,1,0,0,0,0,1
7,4,270,4,5,0,0,0,0,0,1,0,0,1,0,0,1
0,2,142,10,0,1,0,0,1,0,0,0,0,1,0,1,0
4,3,169,6,0,1,1,0,0,0,0,1,0,0,0,0,1
0,5,182,0,9,0,0,0,0,1,0,0,0,1,1,0,0
7,3,295,0,0,0,0,0,0,1,0,1,0,0,1,0,0
0,5,234,2,1,1,0,0,0,0,1,0,1,0,0,0,1
3,2,255,2,18,1,1,0,0,0,0,0,0,1,1,0,0
0,3,176,3,14,1,1,0,0,0,0,1,0,0,0,0,1
4,4,164,2,0,1,0,0,0,1,0,0,1,0,1,0,0
0,2,245,3,61,1,0,0,0,1,0,0,1,0,1,0,0
3,1,171,2,34,1,1,0,0,0,0,0,0,1,1,0,0
3,5,175,0,40,1,0,0,1,0,0,0,0,1,1,0,0
4,2,238,2,9,0,1,0,0,0,0,1,0,0,0,0,1
5,2,269,5,10,1,1,0,0,0,0,0,0,1,0,0,1
3,5,143,2,0,0,1,0,0,0,0,0,0,1,1,0,0
4,5,189,0,6,1,0,1,0,0,0,0,0,1,0,0,1
0,2,158,0,0,0,0,0,1,0,0,0,0,1,0,0,1
0,3,248,5,0,0,0,1,0,0,0,1,0,0,1,0,0
5,1,186,10,64,1,0,0,0,0,1,0,0,1,1,0,0
4,5,237,5,0,1,0,0,0,0,1,0,0,1,1,0,0
3,4,134,3,9,1,0,0,0,1,0,0,1,0,0,0,1
4,2,265,4,0,1,0,0,0,0,1,0,0,1,0,0,1
5,3,274,0,0,0,0,0,0,1,0,1,0,0,0,0,1
3,1,182,2,0,1,0,0,0,0,1,0,0,1,1,0,0
5,2,121,5,10,0,0,0,1,0,0,0,0,1,0,0,1
5,3,143,3,6,1,0,0,1,0,0,0,0,1,1,0,0
4,2,190,5,38,1,0,1,0,0,0,0,0,1,0,1,0
5,1,274,0,0,1,1,0,0,0,0,1,0,0,0,0,1
3,5,265,10,6,0,1,0,0,0,0,1,0,0,1,0,0
5,5,259,3,0,0,0,0,1,0,0,0,1,0,0,0,1
3,3,112,4,0,1,0,0,0,0,1,0,0,1,1,0,0
0,4,207,10,1,0,0,1,0,0,0,0,0,1,1,0,0
3,5,125,2,2,1,0,0,0,0,1,1,0,0,1,0,0
2,3,128,2,0,1,0,0,0,1,0,0,1,0,0,0,1
2,1,178,3,6,1,0,0,0,0,1,0,1,0,1,0,0
6,1,232,5,0,0,1,0,0,0,0,0,0,1,0,1,0
4,1,102,0,0,0,0,0,0,0,1,1,0,0,0,0,1
3,5,268,4,0,1,0,0,0,1,0,0,1,0,0,1,0
0,1,193,6,4,0,0,0,0,0,1,0,0,1,0,0,1
5,1,132,4,0,0,1,0,0,0,0,0,0,1,0,0,1
3,2,226,3,11,1,0,0,0,1,0,0,0,1,1,0,0
3,2,209,2,0,0,0,0,0,0,1,0,0,1,1,0,0
5,4,97,3,0,0,0,0,0,0,1,1,0,0,0,0,1
5,4,231,5,0,0,1,0,0,0,0,0,0,1,1,0,0
4,5,156,3,0,1,0,0,0,0,1,0,0,1,1,0,0
0,2,184,4,0,1,1,0,0,0,0,1,0,0,1,0,0
4,2,204,3,0,1,0,1,0,0,0,0,0,1,0,0,1
3,4,200,3,7,0,0,0,0,0,1,0,1,0,1,0,0
3,3,249,3,55,1,0,0,0,0,1,0,0,1,1,0,0
3,4,186,0,0,1,0,0,0,0,1,0,0,1,0,0,1
4,2,194,8,0,0,0,0,0,0,1,0,0,1,0,0,1
3,3,232,2,0,1,0,0,1,0,0,0,0,1,0,0,1
3,1,211,3,1,1,0,0,1,0,0,0,0,1,0,0,1
5,5,266,5,7,0,0,0,0,0,1,0,0,1,0,0,1
0,3,123,5,0,0,0,0,1,0,0,1,0,0,0,0,1
3,1,160,2,0,1,0,0,0,0,1,0,1,0,1,0,0
3,5,274,3,3,0,0,1,0,0,0,0,0,1,1,0,0
4,3,203,2,0,0,0,1,0,0,0,0,0,1,1,0,0
0,1,307,0,0,0,0,0,0,0,1,0,0,1,1,0,0
4,4,140,3,4,1,0,0,1,0,0,1,0,0,0,0,1
4,1,144,4,8,0,1,0,0,0,0,0,0,1,1,0,0
4,2,273,2,0,1,0,0,1,0,0,0,0,1,1,0,0
4,3,163,0,52,1,0,0,0,0,1,0,0,1,1,0,0
0,3,164,4,0,0,0,0,0,0,1,0,0,1,0,0,1
0,4,271,6,3,0,0,0,0,1,0,0,1,0,0,1,0
0,3,212,4,28,1,0,0,0,0,1,0,0,1,1,0,0
5,4,259,5,4,1,0,0,0,1,0,0,0,1,1,0,0
5,3,262,5,10,1,0,1,0,0,0,0,0,1,1,0,0
5,2,265,3,8,1,0,0,1,0,0,0,0,1,1,0,0
6,3,266,4,0,0,1,0,0,0,0,1,0,0,0,0,1
3,4,267,0,9,0,0,0,1,0,0,0,0,1,1,0,0
3,1,149,3,0,1,1,0,0,0,0,0,1,0,0,0,1
4,5,233,4,0,1,0,1,0,0,0,0,0,1,1,0,0
5,3,243,5,9,1,0,0,1,0,0,0,0,1,1,0,0
0,1,152,2,2,0,0,0,0,1,0,0,0,1,0,0,1
3,3,149,4,0,0,0,0,0,1,0,0,0,1,1,0,0
3,1,181,3,0,1,0,0,0,0,1,0,0,1,0,0,1
0,5,159,2,0,0,0,0,0,0,1,1,0,0,1,0,0
4,4,249,10,0,0,0,0,1,0,0,0,0,1,0,0,1
5,3,230,3,3,1,0,1,0,0,0,0,0,1,0,0,1
4,3,237,0,22,1,0,0,0,0,1,0,1,0,0,0,1
4,4,154,3,0,1,1,0,0,0,0,0,0,1,1,0,0
4,1,200,4,0,0,1,0,0,0,0,0,0,1,0,0,1
5,2,167,4,10,0,0,0,0,0,1,0,0,1,1,0,0
3,5,174,6,0,0,0,0,0,0,1,0,0,1,1,0,0
0,3,221,2,0,1,0,0,0,0,1,0,0,1,0,0,1
4,3,275,10,0,1,0,0,0,1,0,0,0,1,0,0,1
5,4,243,5,0,0,1,0,0,0,0,0,1,0,1,0,0
0,1,271,5,0,0,1,0,0,0,0,0,0,1,1,0,0
4,4,203,3,8,0,0,0,0,0,1,1,0,0,0,0,1
4,1,254,7,5,1,0,1,0,0,0,1,0,0,1,0,0
3,2,132,3,56,1,0,0,0,1,0,0,0,1,1,0,0
5,3,225,3,0,1,0,0,0,0,1,0,0,1,0,0,1
5,4,249,3,2,1,0,1,0,0,0,0,1,0,0,1,0
4,2,201,8,6,0,0,0,0,0,1,1,0,0,0,0,1
4,4,174,3,49,1,0,0,0,0,1,0,1,0,1,0,0
0,2,146,2,4,1,0,0,0,0,1,0,0,1,0,0,1
4,2,266,0,0,0,0,1,0,0,0,0,0,1,0,0,1
5,5,172,2,0,1,0,0,1,0,0,0,0,1,0,0,1
3,3,207,3,0,1,0,0,1,0,0,0,0,1,1,0,0
0,5,198,2,0,1,0,0,0,0,1,0,0,1,0,0,1
0,4,143,5,0,1,1,0,0,0,0,0,0,1,0,1,0
6,3,98,3,0,1,0,0,0,1,0,0,0,1,1,0,0
0,1,112,0,9,1,0,0,0,0,1,0,0,1,0,0,1
6,4,287,4,7,1,1,0,0,0,0,0,0,1,0,0,1
4,5,243,3,0,0,1,0,0,0,0,0,0,1,1,0,0
3,5,223,4,0,1,1,0,0,0,0,1,0,0,0,1,0
3,4,148,3,0,1,0,0,0,0,1,0,0,1,1,0,0
4,2,149,0,0,0,0,0,0,1,0,0,1,0,1,0,0
4,2,220,3,0,0,0,0,0,1,0,0,0,1,1,0,0
4,4,224,0,0,1,1,0,0,0,0,0,0,1,0,1,0
3,3,166,3,0,1,1,0,0,0,0,0,0,1,0,1,0
3,2,220,0,0,1,0,0,0,0,1,0,1,0,0,0,1
3,2,238,2,0,1,0,0,0,0,1,0,0,1,1,0,0
0,3,192,2,0,1,0,0,0,0,1,0,0,1,1,0,0
0,2,240,8,9,0,0,0,1,0,0,1,0,0,1,0,0
5,1,215,0,0,0,0,0,0,0,1,0,1,0,1,0,0
6,3,269,4,0,1,0,0,1,0,0,1,0,0,1,0,0
3,1,180,3,21,1,1,0,0,0,0,0,1,0,0,1,0
3,5,185,2,27,1,1,0,0,0,0,0,0,1,0,0,1
3,3,245,2,0,1,0,0,0,1,0,0,0,1,0,0,1
3,1,121,5,0,1,0,0,0,0,1,0,0,1,1,0,0
5,1,184,3,0,1,0,0,0,1,0,0,0,1,1,0,0
0,3,214,2,4,1,0,0,1,0,0,1,0,0,0,0,1
4,1,239,5,1,1,0,0,0,0,1,0,0,1,1,0,0
6,2,204,4,0,0,0,0,0,0,1,0,0,1,0,0,1
5,1,247,5,0,1,0,0,0,0,1,0,0,1,0,0,1
0,3,249,2,3,0,0,0,0,1,0,0,0,1,0,0,1
0,4,151,3,3,0,0,1,0,0,0,0,0,1,0,0,1
3,4,215,3,5,1,0,1,0,0,0,0,0,1,0,1,0
4,4,146,2,0,0,0,0,0,1,0,0,0,1,0,0,1
3,3,150,3,0,0,0,0,0,0,1,0,0,1,0,0,1
6,5,253,4,0,0,0,0,1,0,0,1,0,0,0,0,1
0,2,205,3,2,0,0,0,0,1,0,1,0,0,1,0,0
5,5,253,6,1,0,0,0,0,1,0,0,1,0,1,0,0
3,3,188,4,1,1,0,0,0,0,1,0,0,1,0,0,1
3,4,143,3,0,0,0,0,0,0,1,1,0,0,1,0,0
3,4,177,4,0,0,0,0,0,0,1,0,0,1,0,0,1
5,5,103,6,2,0,0,0,1,0,0,1,0,0,0,0,1
4,3,136,3,20,1,0,0,0,0,1,0,0,1,0,0,1
5,4,187,0,53,1,1,0,0,0,0,0,0,1,1,0,0
