Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
F,Road,3.0,2,145,2.0,low,,4409,0
A,?,4.0,5,150,,low,5.0,4512,0
F,Ship,5.0,5,132,,low,,4339,1
F,Flight,5.0,1,137,,low,,4584,0
F,Ship,3.0,2,199,3.0,medium,,5768,1
B,Road,2.0,2,148,3.0,high,35.0,1349,1
F,Road,7.0,1,276,4.0,low,8.0,1560,1
F,Ship,,1,146,3.0,medium,,1714,1
A,Road,3.0,1,139,3.0,low,4.0,4666,0
C,Road,6.0,2,286,4.0,low,,?,1
F,Ship,4.0,3,254,4.0,low,,4492,0
A,Ship,4.0,1,256,4.0,medium,,5324,0
B,Ship,,1,138,2.0,low,28.0,1528,1
B,Ship,3.0,5,262,2.0,?,,3275,1
B,Ship,3.0,3,148,2.0,low,,1950,1
A,?,6.0,5,290,,medium,,1867,1
F,Ship,4.0,3,200,,medium,,5108,0
D,?,4.0,3,258,,low,,?,0
D,Ship,4.0,3,170,2.0,low,3.0,4587,1
F,Ship,3.0,3,152,2.0,low,32.0,1665,1
B,Ship,4.0,5,227,5.0,low,,1804,1
D,Ship,,3,174,3.0,low,,1502,1
D,Ship,3.0,3,239,6.0,low,7.0,4501,1
D,Ship,3.0,5,197,3.0,medium,2.0,4018,1
B,Ship,6.0,5,301,4.0,low,,1707,1
F,Ship,3.0,3,240,3.0,low,4.0,5056,1
B,Ship,5.0,4,258,,low,8.0,4200,0
B,Flight,2.0,5,157,6.0,high,17.0,1764,1
A,Ship,3.0,5,222,4.0,medium,9.0,4247,0
D,Ship,2.0,2,237,5.0,low,6.0,4622,1
A,Ship,3.0,1,165,3.0,low,1.0,1417,1
F,Road,4.0,5,252,2.0,high,,4147,1
B,?,,2,242,,medium,6.0,4694,0
F,?,,3,133,2.0,low,,4195,0
D,Flight,,1,184,2.0,low,31.0,3191,1
B,Ship,,3,202,3.0,medium,35.0,3986,1
F,Ship,,5,156,2.0,medium,8.0,5848,0
B,Ship,,1,242,3.0,medium,,3606,1
D,Road,5.0,2,225,,medium,29.0,2411,1
C,Ship,4.0,5,270,2.0,low,,2821,1
D,Road,4.0,5,180,3.0,medium,,5088,0
F,?,4.0,3,253,5.0,low,,1366,1
F,Flight,3.0,3,161,3.0,low,24.0,1920,1
C,Ship,3.0,4,175,2.0,medium,,?,1
B,Road,3.0,2,170,2.0,low,2.0,4214,1
B,Ship,,4,226,6.0,low,,1327,0
C,Ship,,3,262,4.0,low,1.0,1384,1
A,Ship,5.0,5,134,2.0,medium,,1785,1
D,Road,2.0,1,154,3.0,medium,4.0,5100,0
A,Road,,2,233,7.0,medium,5.0,5361,0
C,Ship,2.0,5,181,5.0,medium,5.0,1043,0
A,Ship,,2,228,3.0,medium,4.0,4208,0
C,Flight,6.0,1,215,4.0,low,1.0,4581,1
F,Ship,3.0,4,148,5.0,medium,,1540,1
F,?,4.0,2,161,3.0,low,8.0,4382,0
F,Flight,3.0,5,173,2.0,low,14.0,1638,1
D,Ship,4.0,3,223,3.0,medium,9.0,5897,0
C,Ship,3.0,2,225,3.0,low,,5529,0
B,Ship,3.0,2,166,2.0,medium,6.0,4765,0
C,Ship,3.0,3,200,3.0,low,4.0,3791,1
C,Flight,,5,255,4.0,low,,2093,1
C,Road,6.0,1,246,4.0,medium,,1504,1
F,Ship,4.0,2,184,,medium,10.0,5959,0
F,Ship,4.0,5,246,6.0,low,64.0,2271,1
F,Ship,5.0,1,258,,medium,,3713,1
D,Ship,,4,263,2.0,high,8.0,4914,0
A,Flight,,5,289,4.0,low,,1385,0
A,Ship,4.0,5,247,5.0,low,9.0,1499,0
D,Road,4.0,4,209,3.0,medium,52.0,2740,1
F,Road,3.0,5,170,3.0,low,,5064,0
B,Road,3.0,4,172,10.0,high,,4883,0
D,Ship,,3,191,3.0,high,45.0,3714,1
B,Ship,3.0,3,148,5.0,medium,61.0,1452,1
D,Ship,,4,177,2.0,low,,5618,1
F,Ship,5.0,3,208,3.0,medium,,3884,1
F,Road,5.0,3,277,3.0,medium,1.0,?,1
B,Ship,,1,275,3.0,medium,7.0,5382,1
A,Ship,4.0,2,137,2.0,medium,2.0,5804,1
C,Ship,2.0,5,190,8.0,medium,,2976,1
F,?,4.0,4,282,6.0,medium,52.0,3009,1
D,Flight,3.0,3,199,3.0,medium,,4006,1
C,?,3.0,2,163,3.0,medium,,4323,0
F,Ship,5.0,3,243,3.0,medium,,4524,1
C,Ship,5.0,2,266,10.0,high,9.0,4784,1
D,Ship,3.0,4,190,7.0,medium,51.0,2391,1
F,Ship,,1,206,3.0,medium,28.0,?,1
F,Ship,4.0,3,254,5.0,low,,1248,0
F,Ship,,1,217,3.0,medium,,2692,1
D,Ship,3.0,4,140,2.0,medium,48.0,1102,1
C,Ship,3.0,1,220,,medium,6.0,5319,0
A,Flight,4.0,5,154,3.0,medium,9.0,5208,0
A,Ship,4.0,5,145,,low,2.0,4686,1
D,Ship,4.0,1,252,3.0,medium,,2669,1
F,Ship,4.0,2,223,3.0,high,,4282,0
F,Flight,3.0,2,219,,low,6.0,4314,1
D,Flight,4.0,2,136,3.0,low,65.0,1962,1
D,Road,3.0,3,218,2.0,medium,,2069,1
A,Ship,5.0,2,246,5.0,low,,1072,1
F,Road,5.0,1,217,2.0,low,9.0,4345,0
B,Ship,4.0,3,198,7.0,medium,,5315,0
F,Flight,4.0,5,187,2.0,low,,4316,1
C,Ship,3.0,3,157,4.0,low,2.0,5715,1
F,Ship,3.0,4,148,4.0,high,,4249,0
A,Ship,6.0,5,298,4.0,medium,5.0,1804,0
F,Ship,4.0,2,197,2.0,low,1.0,4977,0
F,Flight,5.0,4,197,4.0,low,40.0,3303,1
F,Ship,3.0,3,162,3.0,medium,,1901,1
F,Flight,2.0,4,274,,high,,4167,1
F,Ship,2.0,1,163,,medium,,1119,1
F,Flight,5.0,1,198,2.0,medium,,3025,1
F,?,7.0,4,270,4.0,medium,5.0,1735,0
C,Ship,,2,142,10.0,high,,4280,1
A,Flight,4.0,3,169,6.0,medium,,5957,1
D,?,,5,182,,low,9.0,5388,0
D,Flight,7.0,3,295,,low,,1235,0
F,Road,,5,234,2.0,medium,1.0,4455,1
A,Ship,3.0,2,255,2.0,low,18.0,3732,1
A,Flight,,3,176,3.0,medium,14.0,1705,1
D,Road,4.0,4,164,2.0,low,,1949,1
D,Road,,2,245,3.0,low,61.0,2188,1
A,Ship,3.0,1,171,2.0,low,34.0,1999,1
C,Ship,3.0,5,175,,low,40.0,1460,1
A,Flight,4.0,2,238,2.0,medium,9.0,4937,0
A,Ship,5.0,2,269,5.0,medium,10.0,1113,1
A,Ship,3.0,5,143,2.0,low,,4253,0
B,Ship,4.0,5,189,,medium,6.0,5439,1
C,Ship,,2,158,,medium,,4881,0
B,Flight,,3,248,5.0,low,,1093,0
F,Ship,5.0,1,186,10.0,low,64.0,2529,1
F,Ship,4.0,5,237,5.0,low,,1357,1
D,Road,3.0,4,134,3.0,medium,9.0,4230,1
F,Ship,4.0,2,265,4.0,medium,,4283,1
D,Flight,5.0,3,274,,medium,,1293,0
F,Ship,3.0,1,182,2.0,low,,5510,1
C,Ship,5.0,2,121,5.0,medium,10.0,4790,0
C,Ship,5.0,3,143,3.0,low,6.0,4761,1
B,Ship,4.0,2,190,5.0,high,38.0,3022,1
A,Flight,5.0,1,274,,medium,,2098,1
A,Flight,3.0,5,265,10.0,low,6.0,4380,0
C,Road,5.0,5,259,3.0,medium,,4315,0
F,Ship,3.0,3,112,4.0,low,,5716,1
B,Ship,,4,207,10.0,low,1.0,4602,0
F,Flight,3.0,5,125,2.0,low,2.0,4182,1
D,Road,2.0,3,128,2.0,medium,,1530,1
F,Road,2.0,1,178,3.0,low,6.0,1184,1
A,Ship,6.0,1,232,5.0,high,,4345,0
F,Flight,4.0,1,102,,medium,,4179,0
D,Road,3.0,5,268,4.0,high,,2893,1
F,Ship,,1,193,6.0,medium,4.0,5964,0
A,Ship,5.0,1,132,4.0,medium,,5461,0
D,Ship,3.0,2,226,3.0,low,11.0,3708,1
F,?,3.0,2,209,2.0,low,,5713,0
F,Flight,5.0,4,97,3.0,medium,,4577,0
A,Ship,5.0,4,231,5.0,low,,1247,0
F,Ship,4.0,5,156,3.0,low,,1836,1
A,Flight,,2,184,4.0,low,,4155,1
B,Ship,4.0,2,204,3.0,medium,,3829,1
F,Road,3.0,4,200,3.0,low,7.0,5400,0
F,Ship,3.0,3,249,3.0,low,55.0,3375,1
F,Ship,3.0,4,186,,medium,,5501,1
F,Ship,4.0,2,194,8.0,medium,,5995,0
C,?,3.0,3,232,2.0,medium,,5544,1
F,?,6.0,3,178,5.0,low,,?,0
C,Ship,3.0,1,211,3.0,medium,1.0,4889,1
F,Ship,5.0,5,266,5.0,medium,7.0,1440,0
C,Flight,,3,123,5.0,medium,,4292,0
F,Ship,6.0,3,136,3.0,low,,?,0
F,Road,3.0,1,160,2.0,low,,5642,1
B,Ship,3.0,5,274,3.0,low,3.0,5156,0
B,Ship,4.0,3,203,2.0,low,,5597,0
F,?,,1,307,,low,,1983,0
C,Flight,4.0,4,140,3.0,medium,4.0,1467,1
A,Ship,4.0,1,144,4.0,low,8.0,4970,0
C,Ship,4.0,2,273,2.0,low,,5608,1
F,Ship,4.0,3,163,,low,52.0,1891,1
F,Ship,,3,164,4.0,medium,,4257,0
D,Road,,4,271,6.0,high,3.0,5204,0
F,Ship,,3,212,4.0,low,28.0,2422,1
D,Ship,5.0,4,259,5.0,low,4.0,1991,1
B,Ship,5.0,3,262,5.0,low,10.0,1197,1
C,Ship,5.0,2,265,3.0,low,8.0,5447,1
A,Flight,6.0,3,266,4.0,medium,,1547,0
C,Ship,3.0,4,267,,low,9.0,5940,0
A,Road,3.0,1,149,3.0,medium,,5952,1
B,Ship,4.0,5,233,4.0,low,,4705,1
C,Ship,5.0,3,243,5.0,low,9.0,1312,1
D,?,,1,152,2.0,medium,2.0,4136,0
D,Ship,3.0,3,149,4.0,low,,5282,0
F,Ship,3.0,1,181,3.0,medium,,3266,1
F,Flight,,5,159,2.0,low,,5671,0
C,Ship,4.0,4,249,10.0,medium,,4190,0
B,Ship,5.0,3,230,3.0,medium,3.0,2923,1
F,Road,4.0,3,237,,medium,22.0,2912,1
A,Ship,4.0,4,154,3.0,low,,4106,1
A,Ship,4.0,1,200,4.0,medium,,5837,0
D,Ship,3.0,5,257,3.0,low,,?,1
F,?,5.0,2,167,4.0,low,10.0,4325,0
F,Ship,3.0,5,174,6.0,low,,5713,0
F,Ship,,3,221,2.0,medium,,3120,1
D,Ship,4.0,3,275,10.0,medium,,2093,1
B,Flight,3.0,2,267,,low,8.0,?,0
A,Road,5.0,4,243,5.0,low,,1118,0
A,?,,1,271,5.0,low,,1353,0
F,Flight,4.0,4,203,3.0,medium,8.0,4443,0
B,Flight,4.0,1,254,7.0,low,5.0,4104,1
D,Ship,3.0,2,132,3.0,low,56.0,1303,1
F,Ship,5.0,3,225,3.0,medium,,2270,1
B,Road,5.0,4,249,3.0,high,2.0,4397,1
F,Flight,4.0,2,201,8.0,medium,6.0,5128,0
F,Road,4.0,4,174,3.0,low,49.0,1141,1
F,Ship,,2,146,2.0,medium,4.0,4348,1
B,Ship,4.0,2,266,,medium,,5121,0
C,Ship,5.0,5,172,2.0,medium,,1446,1
C,Ship,3.0,3,207,3.0,low,,3277,1
F,Ship,,5,198,2.0,medium,,2820,1
A,?,,4,143,5.0,high,,1027,1
D,Ship,6.0,3,98,3.0,low,,4651,1
F,Ship,,1,112,,medium,9.0,5248,1
A,Ship,6.0,4,287,4.0,medium,7.0,1141,1
A,Ship,4.0,5,243,3.0,low,,4909,0
A,Flight,3.0,5,223,4.0,high,,5042,1
F,Ship,3.0,4,148,3.0,low,,5267,1
D,Road,4.0,2,149,,low,,4904,0
D,Ship,4.0,2,220,3.0,low,,5020,0
A,Ship,4.0,4,224,,high,,3145,1
A,Road,3.0,3,256,4.0,medium,3.0,?,0
F,Flight,,1,140,2.0,low,,?,1
B,Ship,4.0,2,200,,medium,45.0,?,1
A,Ship,3.0,3,166,3.0,high,,5089,1
F,Road,3.0,2,220,,medium,,4555,1
F,Ship,3.0,2,238,2.0,low,,2196,1
F,Ship,,3,192,2.0,low,,2621,1
C,Flight,,2,240,8.0,low,9.0,4908,0
A,Ship,4.0,1,216,3.0,low,,?,1
F,Road,5.0,1,215,,low,,4700,0
C,Flight,6.0,3,269,4.0,low,,1948,1
A,Road,3.0,1,180,3.0,high,21.0,1047,1
A,Ship,3.0,5,185,2.0,medium,27.0,3624,1
D,Ship,3.0,3,245,2.0,medium,,2577,1
F,?,3.0,1,121,5.0,low,,1505,1
D,Ship,5.0,1,184,3.0,low,,4674,1
D,Flight,4.0,4,210,2.0,high,,?,0
C,Flight,,3,214,2.0,medium,4.0,3754,1
F,Ship,4.0,1,239,5.0,low,1.0,1780,1
F,Ship,,5,178,3.0,low,7.0,?,0
F,Ship,6.0,2,204,4.0,medium,,4431,0
F,Ship,5.0,1,247,5.0,medium,,1842,1
D,Ship,,3,249,2.0,medium,3.0,4440,0
B,Ship,,4,151,3.0,medium,3.0,4938,0
B,Ship,3.0,4,215,3.0,high,5.0,4670,1
D,?,4.0,4,146,2.0,medium,,4356,0
F,?,3.0,3,150,3.0,medium,,5536,0
C,Flight,6.0,5,253,4.0,medium,,1977,0
D,Flight,,2,205,3.0,low,2.0,4270,0
D,Road,5.0,5,253,6.0,low,1.0,1300,0
F,Ship,3.0,3,188,4.0,medium,1.0,4296,1
F,Flight,3.0,4,143,3.0,low,,5261,0
F,Ship,3.0,4,177,4.0,medium,,1148,0
C,Flight,5.0,5,103,6.0,medium,2.0,4860,0
F,Ship,4.0,3,136,3.0,medium,20.0,1531,1
A,Ship,5.0,4,187,,low,53.0,3172,1
F,Ship,3.0,3,222,4.0,low,6.0,5284,1
D,Ship,2.0,3,224,,low,5.0,5050,0
C,Ship,4.0,4,245,2.0,low,,4297,1
B,Road,,5,176,3.0,high,1.0,5096,1
D,Ship,3.0,4,148,3.0,medium,7.0,4531,0
A,Ship,5.0,3,222,3.0,low,6.0,4744,1
A,Ship,3.0,3,274,3.0,medium,3.0,5157,0
F,Ship,3.0,2,134,,medium,3.0,5232,0
F,Ship,5.0,5,166,3.0,medium,,1267,1
D,Ship,4.0,3,239,3.0,low,10.0,4020,0
A,Flight,4.0,3,201,3.0,medium,,2487,1
D,Ship,6.0,2,256,4.0,low,6.0,1507,0
A,Flight,6.0,2,290,4.0,medium,9.0,1339,0
A,Ship,5.0,1,236,,medium,,1705,0
A,Ship,3.0,2,224,3.0,medium,,5869,0
C,Ship,5.0,4,243,3.0,low,,2899,1
C,Ship,,1,180,3.0,medium,27.0,1551,1
B,Flight,2.0,4,181,4.0,medium,13.0,2309,1
D,Flight,,4,225,2.0,high,5.0,5997,0
F,Road,4.0,4,280,3.0,medium,5.0,5624,0
D,Ship,4.0,2,217,,low,1.0,3133,1
F,Ship,3.0,5,147,3.0,low,,5042,0
D,Ship,6.0,3,281,3.0,medium,,2135,1
F,Ship,3.0,3,167,3.0,?,,1363,1
F,Ship,3.0,1,132,3.0,medium,5.0,5978,0
B,Ship,,2,275,6.0,medium,9.0,1890,0
A,Flight,3.0,1,104,4.0,low,9.0,5211,1
C,Ship,,3,262,,low,,?,0
F,Flight,4.0,1,259,7.0,medium,,5102,0
D,Ship,6.0,5,298,4.0,low,3.0,1009,1
B,Ship,3.0,4,273,2.0,medium,5.0,5223,0
F,Ship,6.0,1,275,4.0,low,,1228,0
A,Road,4.0,1,205,5.0,low,10.0,4944,0
A,Road,4.0,1,228,3.0,low,,4678,0
F,Ship,2.0,1,111,2.0,high,10.0,1920,1
F,?,5.0,1,221,6.0,medium,7.0,1841,1
F,?,3.0,5,197,,low,4.0,5423,0
F,Ship,4.0,5,254,3.0,low,,4377,1
F,Ship,5.0,3,236,4.0,medium,7.0,4308,0
D,Ship,4.0,5,209,3.0,medium,4.0,4809,0
F,Road,3.0,4,159,3.0,high,4.0,4756,1
F,Ship,4.0,4,247,3.0,high,2.0,5324,1
A,Road,5.0,1,135,3.0,low,3.0,4939,1
F,?,5.0,3,237,4.0,low,8.0,5432,0
C,Road,6.0,5,263,7.0,high,,5991,1
F,Road,5.0,1,268,3.0,medium,,5663,0
A,Ship,3.0,3,206,,low,,5746,1
C,Ship,6.0,2,266,4.0,low,,1220,0
D,Ship,,4,218,2.0,low,,?,0
A,Ship,6.0,4,250,4.0,low,,1969,1
D,Ship,,1,247,6.0,low,,1349,1
D,Ship,,5,255,,medium,5.0,1458,1
D,Ship,,5,272,2.0,medium,,5055,1
C,Flight,,3,310,4.0,medium,8.0,1497,0
C,Ship,3.0,2,227,3.0,medium,,5058,0
C,Ship,5.0,4,185,4.0,medium,,3565,1
F,Ship,,1,150,2.0,low,6.0,5697,0
F,Ship,6.0,2,304,4.0,medium,,1983,1
F,Ship,,5,258,3.0,low,,3033,1
F,Ship,6.0,4,292,4.0,low,,1056,1
F,Ship,5.0,2,250,3.0,medium,6.0,?,0
C,Road,3.0,4,256,,medium,,2247,1
C,Ship,,4,261,5.0,low,6.0,1334,0
D,Ship,3.0,3,160,4.0,medium,58.0,1496,1
B,Ship,4.0,4,185,3.0,low,13.0,2080,1
F,Ship,5.0,1,193,2.0,low,,?,0
F,Flight,4.0,4,146,2.0,low,52.0,1459,1
A,Ship,,4,147,5.0,medium,,1886,1
F,Road,5.0,4,157,4.0,low,,1951,1
B,Flight,3.0,4,200,4.0,medium,8.0,4944,0
C,Ship,,4,151,3.0,low,2.0,5712,1
C,Ship,,1,271,5.0,low,,1557,1
A,Ship,3.0,3,132,2.0,medium,,4687,0
F,Ship,3.0,3,148,4.0,low,,5557,0
F,Ship,2.0,1,111,2.0,low,,4296,1
D,Ship,4.0,1,184,7.0,medium,6.0,4956,0
A,Ship,6.0,2,309,4.0,medium,8.0,1289,1
C,?,7.0,5,256,4.0,medium,,1139,1
A,Road,3.0,3,237,3.0,medium,,4918,0
A,Flight,4.0,1,179,2.0,medium,7.0,4605,0
D,Ship,4.0,2,133,6.0,medium,9.0,4879,0
F,?,3.0,4,176,3.0,medium,,5623,0
A,Ship,3.0,5,192,2.0,low,7.0,5069,1
F,Ship,5.0,1,179,2.0,low,,5417,0
A,Ship,,4,234,2.0,medium,,3108,1
D,Road,5.0,5,207,2.0,high,,5066,1
