Cost_of_the_Product,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,Product_importance_low
204,10.0,4431,0,0
247,10.0,1842,1,0
249,3.0,4440,0,0
151,3.0,4938,0,0
215,5.0,4670,1,1
146,10.0,4356,0,0
150,10.0,5536,0,0
253,10.0,1977,0,0
205,2.0,4270,0,0
253,1.0,1300,0,0
188,1.0,4296,1,0
143,10.0,5261,0,0
177,10.0,1148,0,0
103,2.0,4860,0,0
136,20.0,1531,1,0
187,53.0,3172,1,0
222,6.0,5284,1,0
224,5.0,5050,0,0
245,10.0,4297,1,0
176,1.0,5096,1,1
148,7.0,4531,0,0
222,6.0,4744,1,0
274,3.0,5157,0,0
134,3.0,5232,0,0
166,10.0,1267,1,0
239,10.0,4020,0,0
201,10.0,2487,1,0
256,6.0,1507,0,0
290,9.0,1339,0,0
236,10.0,1705,0,0
224,10.0,5869,0,0
243,10.0,2899,1,0
180,27.0,1551,1,0
181,13.0,2309,1,0
225,5.0,5997,0,1
280,5.0,5624,0,0
217,1.0,3133,1,0
147,10.0,5042,0,0
281,10.0,2135,1,0
167,10.0,1363,1,0
132,5.0,5978,0,0
275,9.0,1890,0,0
104,9.0,5211,1,0
262,10.0,1367,0,0
259,10.0,5102,0,0
298,3.0,1009,1,0
273,5.0,5223,0,0
275,10.0,1228,0,0
205,10.0,4944,0,0
228,10.0,4678,0,0
111,10.0,1920,1,1
221,7.0,1841,1,0
197,4.0,5423,0,0
254,10.0,4377,1,0
236,7.0,4308,0,0
209,4.0,4809,0,0
159,4.0,4756,1,1
247,2.0,5324,1,1
135,3.0,4939,1,0
237,8.0,5432,0,0
263,10.0,5991,1,1
268,10.0,5663,0,0
206,10.0,5746,1,0
266,10.0,1220,0,0
218,10.0,1367,0,0
250,10.0,1969,1,0
247,10.0,1349,1,0
255,5.0,1458,1,0
272,10.0,5055,1,0
310,8.0,1497,0,0
227,10.0,5058,0,0
185,10.0,3565,1,0
150,6.0,5697,0,0
304,10.0,1983,1,0
258,10.0,3033,1,0
292,10.0,1056,1,0
250,6.0,1367,0,0
256,10.0,2247,1,0
261,6.0,1334,0,0
160,58.0,1496,1,0
185,13.0,2080,1,0
193,10.0,1367,0,0
146,52.0,1459,1,0
147,10.0,1886,1,0
157,10.0,1951,1,0
200,8.0,4944,0,0
151,2.0,5712,1,0
271,10.0,1557,1,0
132,10.0,4687,0,0
148,10.0,5557,0,0
111,10.0,4296,1,0
184,6.0,4956,0,0
309,8.0,1289,1,0
256,10.0,1139,1,0
237,10.0,4918,0,0
179,7.0,4605,0,0
133,9.0,4879,0,0
176,10.0,5623,0,0
192,7.0,5069,1,0
179,10.0,5417,0,0
234,10.0,3108,1,0
207,10.0,5066,1,1
309,10.0,1866,1,0
187,10.0,2191,1,0
156,5.0,4467,1,0
124,10.0,1367,0,0
141,10.0,4954,1,0
195,3.0,5641,1,0
193,10.0,3453,1,0
237,5.0,1041,0,0
260,10.0,2018,1,1
150,30.0,1782,1,0
168,26.0,1526,1,0
272,1.0,5983,1,0
109,4.0,5407,0,0
240,10.0,1400,1,0
254,9.0,5658,1,0
177,6.0,5451,1,0
241,10.0,4412,1,1
159,10.0,5654,1,0
243,28.0,1100,1,0
216,10.0,2042,1,0
225,10.0,1755,0,0
242,10.0,4809,1,0
282,8.0,1553,0,0
272,5.0,4972,0,1
217,3.0,1572,1,0
132,10.0,1692,1,0
233,2.0,1809,0,0
265,10.0,2194,1,0
274,10.0,1225,0,0
202,10.0,5416,0,0
151,1.0,5179,0,0
178,8.0,4774,1,0
257,3.0,5394,0,0
223,10.0,5613,0,0
224,10.0,5659,1,1
236,10.0,2030,1,0
107,4.0,5624,0,0
235,10.0,1367,1,0
150,10.0,5787,1,0
165,3.0,5409,0,0
235,4.0,1758,0,0
281,10.0,5675,0,0
150,1.0,5098,0,0
159,5.0,4906,1,0
193,55.0,2758,1,0
184,5.0,5045,0,0
308,10.0,1118,0,0
276,54.0,3706,1,0
114,26.0,1825,1,0
236,10.0,5851,0,0
266,5.0,5481,0,0
214,10.0,4578,0,0
301,7.0,1393,1,0
278,5.0,1126,1,0
257,2.0,1367,1,0
190,10.0,2108,1,0
229,10.0,5670,0,0
262,7.0,5141,1,0
263,10.0,1345,1,0
255,10.0,1088,1,0
247,17.0,3889,1,0
275,10.0,5394,1,0
204,10.0,4251,0,0
154,10.0,1238,1,0
176,1.0,4270,1,0
135,9.0,5173,0,0
172,41.0,1006,1,0
163,2.0,5432,1,0
247,16.0,2362,1,0
305,10.0,1167,0,0
239,28.0,2741,1,0
170,10.0,5330,1,0
265,3.0,1367,1,0
240,10.0,1711,1,0
191,10.0,2069,1,1
178,10.0,1933,1,0
272,10.0,5638,1,0
220,6.0,1830,1,0
177,61.0,1367,1,0
249,2.0,5572,1,0
247,10.0,4686,1,0
219,10.0,1367,1,0
253,9.0,1729,0,0
217,10.0,5461,1,0
162,49.0,1671,1,0
133,57.0,1379,1,0
148,10.0,5939,1,0
254,10.0,1876,0,0
161,5.0,4732,0,0
218,10.0,5330,0,0
255,10.0,4638,0,0
205,10.0,4086,0,0
163,10.0,1369,1,0
170,10.0,4716,1,0
281,9.0,1235,0,0
257,10.0,4132,1,0
160,5.0,5841,0,0
146,10.0,1162,1,0
132,10.0,4355,1,0
308,10.0,1303,0,0
252,29.0,2353,1,0
190,10.0,3548,1,0
135,10.0,1073,1,0
244,8.0,1817,1,0
240,2.0,5655,0,0
190,10.0,4468,1,0
225,10.0,2892,1,0
153,5.0,5952,0,0
223,10.0,1132,0,0
268,10.0,4152,1,0
185,10.0,2263,1,0
240,10.0,5642,0,0
178,13.0,1614,1,0
199,10.0,1367,1,0
192,10.0,4570,1,1
123,10.0,5891,0,0
300,10.0,1696,0,0
235,10.0,1367,1,0
157,7.0,4690,1,0
275,9.0,5168,1,0
204,1.0,1367,1,0
258,10.0,1367,1,0
199,10.0,5016,0,0
209,10.0,4976,0,0
154,3.0,1066,1,0
233,10.0,4652,0,0
217,10.0,1974,0,0
183,8.0,5881,1,0
203,10.0,5274,0,0
136,10.0,4911,1,0
171,10.0,4010,1,0
186,8.0,4969,1,0
227,10.0,1367,0,0
166,10.0,4523,1,0
261,47.0,2336,1,1
168,10.0,5731,1,0
249,10.0,5868,1,0
264,10.0,1540,0,0
133,4.0,5902,0,0
219,10.0,1276,0,0
121,2.0,5210,1,0
142,10.0,5425,1,0
241,10.0,5099,1,0
243,26.0,2719,1,0
270,10.0,5212,0,0
116,9.0,1314,1,0
137,9.0,5016,0,0
279,5.0,1210,0,0
285,10.0,4427,1,1
261,10.0,4158,0,0
304,10.0,1256,1,0
163,10.0,5118,1,1
291,3.0,1367,1,0
232,10.0,2139,1,0
171,10.0,5011,0,0
149,7.0,4357,0,0
217,10.0,5450,0,0
168,10.0,4541,1,0
150,10.0,5852,0,0
189,10.0,4997,1,1
246,10.0,4956,0,0
145,4.0,5361,1,0
207,10.0,4909,1,1
304,4.0,1236,1,0
221,10.0,4511,1,0
296,10.0,1686,1,0
177,10.0,4243,1,0
150,2.0,5502,0,1
212,9.0,5791,0,0
267,10.0,4195,1,1
208,10.0,3977,1,0
133,10.0,5180,1,0
190,10.0,3062,1,0
227,10.0,4619,0,0
121,10.0,1611,1,0
228,10.0,2243,1,0
269,62.0,3950,1,0
227,10.0,1620,1,0
203,51.0,3976,1,0
272,10.0,5458,0,0
133,29.0,1094,1,0
212,10.0,5339,0,0
256,10.0,3128,1,0
167,10.0,4341,1,0
162,10.0,1367,1,0
247,10.0,5194,0,0
210,10.0,5906,1,0
306,10.0,1815,1,0
146,10.0,4953,1,0
217,5.0,4077,0,0
186,57.0,3880,1,0
251,42.0,3698,1,0
205,10.0,5580,0,0
258,10.0,5719,0,0
274,10.0,1558,1,0
219,9.0,1483,1,0
170,10.0,4454,1,0
163,10.0,1536,1,0
201,10.0,4865,1,1
266,10.0,4197,1,0
144,56.0,1496,1,0
264,61.0,2025,1,0
196,10.0,5172,1,0
208,10.0,1367,1,0
193,10.0,4855,1,0
236,5.0,5466,0,0
143,10.0,5630,1,0
240,5.0,5734,1,0
268,7.0,4709,0,0
257,10.0,1008,0,0
196,10.0,4516,0,0
275,10.0,4183,1,0
275,10.0,4619,0,0
139,10.0,1546,1,1
243,1.0,4623,0,0
248,10.0,4427,0,0
249,10.0,5017,1,0
169,2.0,1367,0,0
158,10.0,1207,1,0
269,9.0,5133,1,0
264,34.0,3441,1,0
234,7.0,1524,0,0
259,10.0,2495,1,0
112,41.0,1249,1,0
257,10.0,2941,1,0
178,10.0,4203,0,0
160,10.0,5234,0,0
253,4.0,4502,1,0
185,3.0,3051,1,0
254,36.0,2039,1,0
164,55.0,1293,1,1
179,10.0,4071,1,0
198,7.0,5768,1,0
160,10.0,7401,1,0
220,2.0,5065,1,0
221,10.0,5743,1,0
267,10.0,5204,1,1
117,1.0,4378,0,0
144,37.0,1658,1,0
286,9.0,1282,1,0
253,36.0,2591,1,0
215,10.0,3873,1,0
224,8.0,4781,1,0
264,10.0,5252,1,1
185,1.0,4973,0,1
176,9.0,4839,1,0
268,10.0,5488,1,0
224,3.0,4511,0,0
189,34.0,3355,1,0
202,4.0,4134,1,0
257,3.0,1379,1,0
270,10.0,5080,1,1
219,10.0,1505,0,0
274,24.0,2423,1,0
114,9.0,1240,1,0
266,2.0,1510,1,0
247,3.0,1118,0,0
250,8.0,5067,0,0
222,3.0,4068,0,0
170,10.0,1883,1,0
219,10.0,4947,0,0
189,56.0,2646,1,1
145,7.0,4079,1,0
289,10.0,1822,0,1
187,10.0,5957,0,0
197,10.0,5255,0,0
204,10.0,4745,0,0
250,10.0,4380,0,0
224,10.0,1600,0,0
245,6.0,3592,1,0
268,2.0,4459,1,0
191,8.0,4566,1,0
209,10.0,5591,0,0
182,10.0,5398,0,1
165,10.0,4640,1,0
137,10.0,1477,1,1
258,10.0,5828,1,0
236,10.0,4076,0,0
266,10.0,5516,0,0
271,7.0,5192,1,0
273,10.0,4064,1,0
111,10.0,5978,1,1
266,10.0,4382,0,0
237,22.0,2231,1,0
250,1.0,1296,1,0
208,8.0,4890,1,0
271,22.0,2595,1,0
160,10.0,1548,1,0
268,10.0,1061,1,0
271,10.0,4958,0,0
142,23.0,1897,1,0
268,5.0,5647,0,0
157,10.0,5937,0,0
137,6.0,5709,1,0
250,10.0,1367,0,0
270,10.0,3599,1,0
197,4.0,5800,0,0
115,60.0,1122,1,0
208,3.0,5811,1,0
157,10.0,5801,0,0
195,10.0,3108,1,0
253,10.0,3096,1,0
301,9.0,1660,1,0
177,8.0,5006,1,0
257,2.0,1258,1,0
151,9.0,5082,0,0
195,9.0,4224,0,0
151,22.0,1024,1,0
298,1.0,1735,1,0
285,10.0,1016,1,0
197,10.0,5099,0,0
163,20.0,1367,1,0
241,1.0,1924,1,0
260,2.0,4529,0,0
232,10.0,5104,1,0
260,8.0,5382,0,0
260,10.0,1708,1,0
196,10.0,4546,0,0
214,4.0,4077,1,0
148,1.0,4133,1,0
173,7.0,1855,1,0
162,10.0,5868,0,0
220,5.0,5864,0,0
249,1.0,1200,0,0
243,6.0,4950,0,0
135,10.0,5013,0,0
260,5.0,5307,0,0
240,10.0,2356,1,0
173,10.0,4307,0,1
133,10.0,1467,1,0
258,7.0,5736,0,0
153,9.0,4404,0,0
253,10.0,2205,1,0
244,10.0,3125,1,0
275,10.0,1329,0,0
260,1.0,5001,1,0
270,46.0,2716,1,0
199,10.0,5585,1,0
173,10.0,5432,0,0
305,10.0,1418,1,0
148,10.0,4243,0,0
176,10.0,5456,0,0
155,10.0,5315,1,0
172,1.0,4618,0,0
135,4.0,4541,0,0
155,45.0,1367,1,0
154,10.0,5884,1,0
171,10.0,5252,0,0
160,10.0,1251,1,0
238,6.0,5092,0,0
263,10.0,1417,0,0
174,3.0,5366,1,0
174,9.0,1682,1,0
195,30.0,3462,1,0
191,10.0,5333,1,0
236,3.0,1906,0,0
197,10.0,4491,0,0
181,10.0,5106,0,0
151,10.0,4408,1,0
128,51.0,1524,1,0
243,10.0,4486,0,1
267,10.0,1837,1,0
198,15.0,3250,1,0
243,10.0,1066,1,0
239,2.0,4425,0,0
222,10.0,4460,1,0
270,63.0,2751,1,0
198,10.0,4829,0,0
308,4.0,1202,0,0
164,10.0,1880,1,0
126,6.0,4372,1,0
220,4.0,4314,0,0
230,28.0,3646,1,0
248,1.0,1845,1,0
296,10.0,1678,0,0
244,7.0,5337,0,0
119,10.0,5290,1,0
219,10.0,1071,0,0
155,10.0,4534,0,1
278,2.0,1167,1,0
136,10.0,5739,0,1
280,19.0,3298,1,0
192,10.0,3995,1,0
221,10.0,4568,1,1
231,24.0,3811,1,0
101,1.0,4014,1,0
196,10.0,5180,1,0
141,7.0,1479,1,0
283,10.0,1882,1,0
139,17.0,1137,1,1
234,39.0,2099,1,0
243,31.0,3943,1,0
159,10.0,4326,0,0
156,10.0,5216,0,0
227,10.0,5491,1,0
172,7.0,5098,0,0
250,4.0,4016,0,0
177,4.0,1560,1,0
266,2.0,1798,0,0
176,10.0,1567,1,0
192,10.0,4151,0,0
244,2.0,1367,0,0
201,4.0,5472,1,0
268,10.0,2758,1,0
263,7.0,4243,1,0
265,10.0,4423,1,0
265,10.0,1864,0,0
170,10.0,1299,1,0
259,3.0,4154,1,0
144,10.0,4956,1,0
214,10.0,2669,1,0
263,10.0,1669,0,0
274,10.0,1764,0,0
184,8.0,4994,0,0
193,10.0,5810,1,0
182,39.0,3828,1,0
175,64.0,1367,1,0
211,22.0,2942,1,1
224,49.0,3749,1,0
264,6.0,1758,0,0
237,10.0,3625,1,0
151,10.0,4088,0,0
171,13.0,1101,1,0
188,1.0,4856,0,0
148,2.0,4065,1,0
272,39.0,2518,1,0
223,10.0,4310,1,0
207,10.0,4706,0,0
275,9.0,1215,1,0
167,10.0,4319,1,0
149,8.0,4556,0,0
104,3.0,1367,1,0
271,5.0,1184,1,0
195,10.0,3251,1,1
236,1.0,1682,0,0
187,10.0,5326,0,0
255,10.0,1372,0,0
263,10.0,5447,1,0
267,10.0,5786,1,0
237,2.0,5364,0,1
278,1.0,1210,0,0
272,10.0,4363,1,0
233,10.0,4233,1,0
251,4.0,4015,0,0
240,10.0,5525,1,0
269,6.0,5951,0,0
148,5.0,4851,1,0
154,7.0,4938,0,0
110,54.0,1155,1,0
177,5.0,5941,0,0
245,10.0,4343,1,0
168,10.0,4928,0,1
206,3.0,5113,1,0
257,5.0,4130,1,0
184,10.0,4712,1,0
101,10.0,1367,1,0
269,21.0,3716,1,0
222,10.0,1367,0,0
268,10.0,4681,1,0
236,10.0,1367,1,0
181,10.0,3306,1,0
158,7.0,4344,1,0
235,10.0,2984,1,0
166,4.0,4716,0,0
267,5.0,4440,1,0
243,10.0,5460,0,0
241,10.0,1145,0,0
164,4.0,1708,0,0
200,34.0,2199,1,0
270,7.0,4098,1,0
229,10.0,5225,1,0
274,5.0,3910,1,0
210,9.0,4102,1,0
240,10.0,4744,1,0
196,1.0,5303,1,0
278,8.0,1967,0,1
146,10.0,5673,1,0
271,6.0,4218,0,0
242,10.0,1367,0,0
199,1.0,5660,0,0
212,16.0,2494,1,0
155,10.0,5539,0,0
131,10.0,5084,0,0
114,10.0,4423,0,1
243,10.0,5705,1,0
205,3.0,5182,0,0
255,10.0,5609,0,0
136,10.0,4299,1,0
176,2.0,4893,0,0
200,3.0,5583,1,0
253,10.0,1961,0,0
287,10.0,5282,0,0
155,7.0,1434,1,0
274,3.0,4257,0,0
220,9.0,5672,1,0
235,4.0,4739,0,0
193,10.0,4559,0,0
219,7.0,1367,1,0
161,10.0,1978,1,0
215,1.0,4158,0,1
150,10.0,5042,0,0
285,8.0,1028,1,0
167,52.0,1755,1,0
223,10.0,3687,1,0
272,10.0,2415,1,0
224,10.0,1842,0,0
133,30.0,1161,1,0
211,10.0,4004,0,0
175,10.0,5944,1,0
308,10.0,1164,1,0
243,10.0,1367,1,0
260,10.0,1860,0,0
208,12.0,3181,1,0
196,8.0,4604,1,0
273,9.0,1329,1,0
262,37.0,1367,1,0
245,8.0,1841,0,0
121,10.0,1906,1,0
159,10.0,5704,0,0
171,10.0,1304,1,0
229,10.0,5324,1,0
159,10.0,5221,0,0
102,10.0,4845,1,0
102,10.0,1220,1,0
147,4.0,5805,0,0
201,10.0,5722,1,0
271,9.0,4967,1,0
273,3.0,1361,1,0
152,10.0,5839,1,0
143,10.0,1281,1,0
260,55.0,2791,1,0
135,2.0,1150,1,0
244,55.0,2782,1,0
180,10.0,1727,1,0
206,10.0,3755,1,0
218,4.0,1367,0,0
202,50.0,2587,1,0
140,9.0,4558,0,0
227,10.0,3512,1,0
179,45.0,1903,1,0
132,10.0,1909,1,0
263,10.0,2606,1,0
192,10.0,1694,1,0
257,10.0,5944,0,0
235,10.0,1386,0,0
156,10.0,1483,1,0
156,2.0,5467,0,0
113,10.0,1037,1,1
197,10.0,4184,0,0
