Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Discount_offered,Weight_in_gms,Warehouse_block_A,Warehouse_block_B,Warehouse_block_C,Warehouse_block_D,Warehouse_block_F,Mode_of_Shipment_Flight,Mode_of_Shipment_Road,Mode_of_Shipment_Ship,Product_importance_high,Product_importance_low,Product_importance_medium
0.0,4,220,0.0,10,2620,0,0,0,0,1,0,0,1,0,1,0
3.0,5,181,4.0,10,4971,0,0,1,0,0,0,1,0,1,0,0
3.0,4,257,5.0,10,5365,0,0,0,0,1,0,0,1,0,0,1
3.0,3,209,3.0,1,5186,0,0,1,0,0,0,1,0,0,1,0
3.0,5,263,3.0,10,4645,0,0,0,0,1,1,0,0,0,0,1
0.0,3,140,2.0,22,1248,0,0,0,0,1,0,0,1,0,1,0
4.0,3,152,3.0,10,1009,1,0,0,0,0,0,0,1,0,1,0
4.0,2,246,3.0,10,5113,1,0,0,0,0,0,0,1,0,0,1
0.0,5,260,4.0,8,1347,1,0,0,0,0,1,0,0,0,1,0
3.0,4,178,2.0,10,1183,1,0,0,0,0,0,0,1,0,1,0
0.0,1,151,3.0,10,5610,1,0,0,0,0,1,0,0,0,1,0
5.0,1,256,2.0,10,5352,1,0,0,0,0,0,0,1,0,0,1
5.0,3,267,3.0,10,3393,0,0,0,1,0,1,0,0,0,1,0
0.0,5,244,5.0,10,4163,0,1,0,0,0,0,0,1,0,0,1
0.0,5,229,2.0,10,3844,0,1,0,0,0,0,0,1,0,0,1
3.0,4,180,2.0,49,1942,1,0,0,0,0,0,0,1,0,0,1
3.0,1,238,6.0,10,3375,1,0,0,0,0,0,0,1,0,0,1
3.0,1,160,3.0,10,1833,0,0,0,0,1,0,1,0,0,1,0
3.0,2,204,0.0,10,3951,0,0,0,0,1,0,0,1,1,0,0
3.0,4,235,2.0,10,4575,0,0,1,0,0,0,0,1,0,1,0
3.0,5,221,3.0,10,4523,1,0,0,0,0,0,0,1,0,0,1
0.0,1,241,5.0,5,1116,0,0,0,0,1,0,0,1,0,1,0
3.0,3,166,2.0,4,4254,0,0,0,1,0,0,0,1,0,0,1
0.0,1,135,2.0,10,5682,0,0,0,0,1,0,1,0,0,1,0
2.0,2,167,2.0,3,5894,0,0,0,0,1,0,0,1,0,0,1
2.0,3,140,3.0,10,4691,0,1,0,0,0,0,1,0,0,1,0
0.0,2,265,2.0,7,5464,0,1,0,0,0,0,1,0,0,0,1
3.0,3,149,2.0,10,1145,0,0,1,0,0,0,0,1,0,0,1
4.0,3,191,3.0,10,4219,0,0,0,0,1,0,0,1,0,0,1
4.0,5,265,2.0,10,4660,0,0,0,0,1,0,0,1,0,1,0
4.0,3,216,2.0,52,3578,0,0,0,0,1,0,0,1,0,1,0
3.0,3,218,3.0,6,5288,0,0,0,1,0,0,0,1,0,0,1
3.0,1,204,3.0,4,5900,1,0,0,0,0,0,0,1,0,0,1
3.0,1,170,2.0,10,4112,0,0,0,0,1,0,1,0,0,1,0
7.0,4,301,4.0,10,3951,0,0,0,0,1,0,0,1,0,1,0
4.0,3,208,2.0,10,4276,0,1,0,0,0,0,0,1,0,0,1
2.0,1,235,3.0,8,4522,1,0,0,0,0,0,1,0,0,1,0
6.0,4,285,4.0,10,1244,0,0,1,0,0,0,0,1,0,0,1
4.0,3,134,2.0,10,1010,0,1,0,0,0,0,0,1,0,0,1
0.0,4,229,5.0,9,1069,1,0,0,0,0,0,0,1,0,1,0
3.0,3,156,3.0,20,1305,0,0,1,0,0,0,0,1,1,0,0
4.0,2,174,3.0,10,5625,0,0,1,0,0,0,0,1,0,1,0
3.0,3,150,3.0,6,1775,0,0,0,0,1,0,0,1,0,1,0
3.0,1,185,3.0,61,3280,0,0,0,0,1,0,0,1,0,1,0
6.0,5,264,4.0,10,1755,0,0,0,1,0,1,0,0,0,0,1
3.0,4,247,3.0,6,4873,0,1,0,0,0,0,1,0,0,1,0
4.0,2,180,3.0,3,1518,0,1,0,0,0,0,0,1,0,1,0
4.0,5,245,3.0,2,5439,0,0,1,0,0,0,0,1,0,0,1
6.0,5,154,2.0,10,4359,0,1,0,0,0,0,0,1,1,0,0
3.0,5,213,2.0,39,2857,0,0,0,0,1,0,0,1,0,1,0
6.0,4,292,4.0,10,1826,0,0,0,0,1,1,0,0,0,1,0
0.0,4,217,2.0,10,4029,0,0,0,0,1,0,1,0,0,1,0
4.0,3,192,3.0,1,4045,0,1,0,0,0,0,0,1,0,1,0
5.0,2,274,4.0,10,4929,0,0,0,1,0,0,0,1,0,0,1
4.0,5,258,2.0,10,3512,0,0,0,0,1,0,0,1,1,0,0
0.0,4,151,3.0,10,4611,0,0,0,0,1,0,0,1,0,1,0
2.0,5,248,6.0,10,2750,0,0,0,0,1,0,0,1,0,1,0
4.0,4,270,2.0,10,5148,0,0,0,0,1,0,0,1,0,1,0
0.0,5,251,6.0,1,1625,0,0,0,1,0,0,0,1,0,1,0
4.0,1,172,3.0,7,4883,1,0,0,0,0,0,0,1,0,0,1
3.0,1,142,2.0,10,1428,1,0,0,0,0,0,0,1,1,0,0
5.0,1,277,4.0,10,5496,0,0,0,0,1,0,0,1,0,1,0
5.0,1,229,6.0,10,1883,0,0,0,0,1,0,0,1,0,1,0
0.0,2,255,0.0,10,1378,1,0,0,0,0,0,1,0,0,1,0
6.0,3,166,4.0,10,5783,0,0,0,1,0,0,0,1,0,1,0
3.0,1,151,4.0,10,5016,0,0,0,1,0,0,0,1,0,0,1
4.0,1,162,6.0,1,5525,0,0,1,0,0,0,0,1,0,1,0
4.0,3,139,3.0,10,4986,0,0,0,0,1,0,0,1,0,1,0
0.0,4,248,4.0,6,1851,1,0,0,0,0,0,0,1,0,1,0
3.0,1,162,8.0,10,5429,0,1,0,0,0,0,0,1,1,0,0
5.0,5,234,2.0,43,3822,0,0,0,0,1,0,0,1,0,0,1
5.0,3,239,5.0,10,1784,1,0,0,0,0,0,1,0,0,1,0
3.0,4,179,2.0,10,1041,1,0,0,0,0,0,0,1,0,1,0
2.0,3,211,3.0,8,1172,1,0,0,0,0,0,0,1,0,1,0
4.0,1,164,2.0,10,1124,0,0,0,0,1,0,1,0,0,0,1
5.0,5,232,3.0,10,1716,0,0,0,0,1,0,0,1,0,1,0
0.0,4,202,3.0,7,1946,0,0,0,0,1,1,0,0,0,0,1
5.0,1,143,3.0,3,3951,0,0,0,1,0,0,0,1,0,0,1
0.0,4,148,3.0,4,5716,0,0,0,1,0,0,0,1,0,1,0
4.0,4,233,3.0,5,5421,1,0,0,0,0,0,1,0,0,1,0
5.0,4,165,3.0,48,1240,0,0,1,0,0,0,1,0,0,0,1
4.0,2,262,3.0,10,5085,0,0,0,1,0,0,0,1,0,1,0
3.0,4,138,3.0,54,1648,0,0,0,0,1,0,0,1,0,1,0
3.0,4,255,2.0,7,4332,1,0,0,0,0,0,0,1,0,0,1
3.0,1,264,4.0,10,4265,0,0,0,1,0,0,0,1,0,1,0
6.0,4,294,3.0,7,1455,0,0,1,0,0,0,1,0,0,0,1
4.0,3,271,3.0,10,4137,0,1,0,0,0,0,1,0,0,0,1
4.0,1,238,3.0,10,4172,0,0,0,1,0,0,0,1,0,1,0
6.0,5,117,7.0,10,5529,0,0,0,0,1,1,0,0,0,0,1
2.0,1,213,3.0,10,2732,0,0,0,1,0,0,0,1,0,1,0
3.0,4,171,3.0,10,5872,0,0,1,0,0,0,0,1,0,1,0
5.0,3,252,5.0,3,1474,1,0,0,0,0,0,0,1,0,1,0
4.0,5,139,3.0,10,5335,0,0,0,1,0,0,0,1,0,1,0
0.0,3,232,3.0,8,5298,0,0,0,0,1,0,0,1,0,0,1
4.0,2,162,3.0,7,5614,0,1,0,0,0,1,0,0,0,1,0
4.0,2,147,3.0,10,1873,0,0,0,0,1,0,0,1,0,0,1
3.0,1,168,3.0,10,1886,0,0,0,0,1,0,0,1,0,1,0
5.0,3,204,3.0,10,5610,0,0,0,0,1,0,0,1,0,1,0
0.0,2,245,3.0,1,4731,0,0,0,1,0,1,0,0,0,0,1
3.0,4,226,3.0,26,2299,0,1,0,0,0,1,0,0,0,0,1
4.0,4,173,5.0,2,1175,0,0,0,0,1,0,0,1,0,0,1
3.0,2,140,3.0,42,1465,0,0,0,0,1,0,0,1,0,1,0
0.0,1,228,3.0,10,5530,0,0,0,0,1,0,0,1,0,0,1
6.0,5,254,4.0,10,1887,0,0,1,0,0,0,0,1,0,0,1
7.0,2,291,4.0,8,1275,0,0,0,1,0,0,0,1,0,1,0
3.0,2,237,3.0,10,5851,0,0,0,0,1,0,1,0,0,0,1
0.0,4,144,4.0,5,4631,1,0,0,0,0,1,0,0,0,1,0
4.0,4,212,2.0,6,4117,0,0,0,0,1,0,0,1,0,0,1
6.0,5,289,4.0,5,1600,0,1,0,0,0,0,0,1,0,1,0
4.0,3,204,3.0,10,3774,0,0,0,0,1,0,0,1,0,1,0
0.0,3,137,3.0,10,5357,0,0,0,0,1,0,0,1,0,1,0
3.0,3,190,3.0,10,5279,0,0,0,0,1,0,0,1,0,1,0
3.0,1,265,3.0,10,4244,0,0,0,1,0,0,1,0,0,0,1
4.0,5,201,4.0,46,3498,0,0,0,0,1,0,0,1,0,0,1
4.0,2,210,3.0,10,2046,0,0,0,1,0,0,0,1,0,1,0
4.0,4,233,3.0,9,4300,0,0,0,0,1,0,0,1,0,1,0
3.0,1,205,3.0,10,3062,0,0,1,0,0,0,0,1,0,0,1
3.0,1,222,3.0,10,5362,0,0,0,1,0,0,0,1,0,1,0
4.0,2,159,5.0,10,5547,1,0,0,0,0,0,0,1,0,1,0
4.0,2,231,5.0,8,1562,0,0,0,0,1,0,0,1,0,0,1
3.0,1,223,3.0,22,3795,1,0,0,0,0,1,0,0,0,1,0
2.0,2,225,7.0,10,4947,0,0,0,0,1,0,0,1,1,0,0
3.0,2,191,3.0,10,3951,0,0,0,0,1,0,0,1,1,0,0
4.0,1,198,4.0,9,5382,0,0,0,0,1,0,1,0,0,0,1
5.0,5,154,2.0,10,4669,0,0,1,0,0,0,0,1,0,0,1
4.0,1,151,6.0,7,4387,1,0,0,0,0,0,0,1,0,1,0
3.0,3,204,2.0,6,5612,0,0,1,0,0,0,1,0,0,0,1
4.0,2,266,5.0,10,4578,0,0,0,0,1,0,0,1,0,0,1
3.0,1,205,2.0,2,3951,1,0,0,0,0,1,0,0,0,0,1
3.0,1,267,2.0,10,5744,0,1,0,0,0,0,0,1,0,1,0
5.0,2,269,0.0,9,5672,0,0,0,0,1,0,1,0,0,0,1
6.0,1,243,4.0,22,3537,0,0,0,0,1,0,0,1,1,0,0
4.0,3,246,5.0,1,1673,1,0,0,0,0,0,0,1,0,1,0
4.0,4,198,2.0,64,3787,0,1,0,0,0,0,1,0,0,0,1
2.0,1,170,3.0,41,1128,0,0,0,0,1,1,0,0,0,1,0
4.0,2,162,2.0,16,1014,1,0,0,0,0,1,0,0,0,1,0
0.0,4,293,4.0,8,1145,0,0,0,1,0,0,1,0,0,1,0
4.0,5,243,2.0,10,2829,0,0,1,0,0,0,0,1,0,1,0
5.0,5,245,5.0,10,4627,0,1,0,0,0,0,0,1,0,0,1
4.0,4,224,2.0,3,4817,0,0,0,0,1,0,0,1,0,1,0
0.0,1,173,3.0,10,5749,0,0,0,0,1,0,1,0,1,0,0
6.0,3,247,4.0,3,1903,1,0,0,0,0,0,0,1,0,0,1
6.0,2,269,4.0,6,1073,0,0,0,1,0,0,0,1,0,1,0
5.0,1,187,0.0,7,4792,0,0,0,1,0,1,0,0,0,1,0
3.0,3,115,6.0,10,5636,0,0,1,0,0,0,0,1,1,0,0
5.0,5,255,2.0,1,4604,0,0,0,0,1,0,1,0,0,0,1
0.0,1,258,4.0,5,5664,0,0,1,0,0,0,1,0,0,1,0
4.0,4,249,3.0,1,5743,0,0,1,0,0,0,0,1,0,0,1
4.0,2,201,0.0,9,5146,0,0,1,0,0,0,1,0,0,0,1
4.0,2,193,2.0,10,2371,0,1,0,0,0,0,1,0,1,0,0
2.0,1,296,5.0,10,1648,0,0,0,0,1,0,0,1,0,0,1
5.0,1,189,3.0,13,3492,0,0,1,0,0,0,0,1,0,0,1
2.0,5,211,4.0,10,5673,0,0,0,1,0,0,0,1,0,1,0
0.0,3,213,2.0,10,5495,0,0,0,1,0,0,0,1,0,1,0
0.0,5,238,6.0,8,5620,1,0,0,0,0,0,0,1,0,0,1
4.0,1,270,10.0,5,5494,0,0,0,0,1,0,0,1,0,0,1
6.0,1,238,6.0,13,2442,1,0,0,0,0,0,0,1,0,1,0
0.0,1,225,6.0,10,5714,0,0,0,0,1,0,0,1,0,1,0
4.0,2,233,2.0,10,4668,0,0,0,0,1,0,0,1,0,1,0
0.0,5,171,6.0,10,3951,0,0,0,0,1,0,0,1,0,0,1
4.0,1,247,3.0,9,2414,0,0,0,0,1,0,0,1,0,1,0
3.0,3,195,3.0,10,4224,1,0,0,0,0,0,0,1,0,1,0
4.0,2,251,2.0,10,4898,0,1,0,0,0,0,0,1,0,1,0
4.0,5,214,2.0,10,5378,0,0,0,0,1,0,0,1,0,0,1
2.0,4,264,3.0,6,4025,0,0,0,0,1,0,0,1,0,0,1
3.0,2,212,0.0,10,4117,0,0,1,0,0,0,0,1,0,0,1
3.0,3,243,3.0,10,2052,0,0,0,0,1,0,0,1,0,0,1
2.0,3,134,0.0,4,5958,0,0,0,0,1,1,0,0,0,1,0
4.0,4,224,0.0,9,4902,0,0,0,0,1,0,0,1,0,1,0
4.0,2,139,8.0,2,5012,0,1,0,0,0,0,0,1,0,0,1
6.0,4,275,4.0,4,1192,0,0,0,1,0,0,0,1,0,1,0
5.0,4,260,5.0,10,1178,1,0,0,0,0,0,1,0,0,1,0
6.0,4,260,3.0,10,4730,1,0,0,0,0,0,0,1,0,0,1
7.0,4,289,4.0,10,3951,0,1,0,0,0,0,0,1,0,1,0
0.0,5,215,4.0,10,5409,0,0,0,0,1,1,0,0,0,0,1
4.0,3,210,3.0,9,5556,0,1,0,0,0,0,0,1,0,1,0
4.0,1,242,6.0,8,1419,0,0,0,1,0,0,0,1,0,1,0
3.0,3,137,3.0,8,4742,0,0,0,0,1,0,0,1,0,1,0
3.0,4,98,3.0,5,4432,0,0,0,1,0,0,1,0,0,1,0
4.0,1,143,2.0,10,4057,1,0,0,0,0,0,0,1,0,0,1
3.0,4,203,2.0,15,3951,0,0,1,0,0,0,1,0,0,1,0
6.0,4,275,4.0,10,1182,0,0,0,1,0,0,0,1,0,1,0
5.0,3,267,5.0,1,1505,0,0,0,0,1,1,0,0,0,1,0
3.0,2,165,3.0,6,5642,0,0,0,0,1,0,0,1,0,1,0
3.0,3,181,2.0,10,3236,0,0,0,0,1,0,1,0,0,0,1
4.0,1,201,4.0,10,2925,0,1,0,0,0,0,0,1,0,0,1
3.0,3,201,4.0,10,2299,0,0,1,0,0,0,0,1,0,0,1
4.0,5,188,0.0,10,3361,1,0,0,0,0,0,0,1,0,1,0
5.0,4,153,3.0,5,4711,0,0,0,0,1,0,1,0,0,1,0
0.0,3,142,2.0,10,1615,0,0,1,0,0,0,1,0,0,0,1
4.0,2,263,3.0,4,4935,0,0,0,0,1,0,0,1,0,1,0
6.0,2,260,5.0,9,1667,0,1,0,0,0,0,0,1,0,1,0
3.0,2,215,4.0,3,3951,0,0,0,0,1,1,0,0,0,1,0
2.0,2,129,3.0,22,6614,0,0,0,0,1,0,0,1,0,0,1
3.0,5,176,2.0,8,5597,0,0,0,0,1,0,0,1,0,0,1
5.0,2,185,3.0,10,4354,0,0,0,1,0,1,0,0,0,1,0
6.0,2,225,4.0,10,5787,0,1,0,0,0,0,0,1,0,1,0
4.0,4,168,3.0,35,1434,0,0,0,1,0,0,0,1,0,1,0
0.0,5,255,7.0,8,4091,1,0,0,0,0,0,0,1,0,0,1
2.0,5,275,2.0,41,2546,0,0,0,0,1,0,0,1,0,1,0
0.0,3,141,2.0,28,1624,1,0,0,0,0,1,0,0,0,0,1
3.0,4,257,2.0,10,3981,0,0,0,1,0,0,1,0,1,0,0
5.0,5,236,3.0,34,3455,0,0,0,1,0,0,0,1,0,1,0
5.0,5,201,3.0,10,5121,0,0,1,0,0,0,0,1,0,0,1
4.0,1,163,8.0,10,5489,1,0,0,0,0,0,0,1,0,0,1
4.0,1,238,3.0,33,2013,0,0,0,1,0,0,0,1,0,1,0
0.0,4,169,2.0,10,1765,0,1,0,0,0,1,0,0,0,1,0
5.0,2,260,5.0,9,1809,0,0,0,1,0,0,0,1,0,1,0
3.0,4,164,3.0,10,1408,0,0,0,0,1,0,1,0,0,1,0
2.0,4,246,2.0,1,5374,0,0,0,1,0,0,1,0,0,0,1
4.0,4,245,4.0,10,5051,0,0,1,0,0,0,1,0,0,0,1
6.0,2,118,2.0,2,1744,1,0,0,0,0,0,0,1,0,1,0
3.0,1,119,2.0,10,4146,0,0,0,0,1,0,0,1,0,1,0
6.0,5,275,4.0,6,1872,0,1,0,0,0,0,0,1,0,1,0
4.0,4,196,4.0,10,4871,0,1,0,0,0,0,0,1,0,1,0
0.0,3,247,3.0,1,5214,1,0,0,0,0,0,1,0,1,0,0
3.0,4,263,6.0,10,4429,0,0,0,1,0,0,0,1,1,0,0
5.0,5,250,2.0,10,5475,0,0,1,0,0,0,0,1,0,0,1
4.0,3,245,4.0,10,5940,0,0,0,0,1,0,0,1,0,0,1
6.0,1,257,3.0,10,2239,0,0,0,0,1,0,0,1,0,0,1
4.0,5,173,3.0,7,4410,0,0,0,0,1,1,0,0,0,1,0
5.0,1,165,3.0,37,1228,0,1,0,0,0,0,0,1,0,1,0
0.0,2,250,3.0,37,3951,0,0,0,1,0,0,0,1,0,1,0
3.0,2,211,6.0,2,4417,0,1,0,0,0,0,0,1,0,1,0
3.0,4,175,3.0,10,4274,1,0,0,0,0,0,0,1,0,1,0
4.0,3,242,6.0,5,1411,0,0,0,0,1,0,0,1,0,1,0
3.0,2,194,3.0,10,4727,0,0,0,1,0,0,0,1,0,0,1
5.0,5,182,3.0,27,3039,0,0,0,0,1,0,0,1,0,0,1
6.0,5,282,4.0,10,1385,0,0,0,0,1,0,0,1,0,0,1
6.0,4,224,5.0,10,5602,0,0,0,0,1,0,0,1,0,0,1
3.0,1,189,2.0,5,4738,1,0,0,0,0,1,0,0,0,1,0
0.0,2,270,3.0,5,5950,0,0,1,0,0,0,0,1,0,0,1
5.0,4,228,5.0,9,1549,0,0,0,1,0,0,0,1,0,1,0
0.0,2,258,0.0,10,5393,1,0,0,0,0,0,0,1,0,1,0
4.0,1,189,3.0,10,4133,0,0,0,0,1,1,0,0,0,0,1
3.0,4,251,3.0,5,5608,0,0,1,0,0,1,0,0,0,0,1
0.0,4,222,4.0,6,4733,0,0,0,1,0,0,1,0,0,0,1
4.0,2,249,5.0,36,3836,0,0,0,0,1,0,0,1,0,0,1
5.0,2,249,6.0,10,5633,1,0,0,0,0,0,1,0,0,1,0
4.0,4,243,5.0,10,4356,0,0,0,0,1,0,0,1,0,0,1
4.0,4,184,4.0,8,3951,0,0,0,1,0,1,0,0,0,0,1
0.0,3,125,4.0,10,4203,0,0,1,0,0,0,0,1,0,0,1
4.0,1,208,0.0,4,4530,0,0,0,0,1,0,0,1,0,1,0
6.0,5,282,4.0,4,1013,1,0,0,0,0,0,0,1,0,0,1
0.0,1,286,4.0,10,3951,0,0,1,0,0,0,0,1,0,0,1
3.0,1,167,0.0,10,4171,0,0,0,1,0,1,0,0,0,1,0
3.0,1,255,5.0,1,2713,0,0,0,1,0,0,0,1,0,1,0
5.0,4,200,3.0,10,5206,0,0,0,0,1,1,0,0,0,0,1
0.0,1,245,3.0,2,5835,0,0,0,0,1,0,0,1,0,1,0
5.0,2,192,0.0,5,4046,1,0,0,0,0,1,0,0,0,1,0
3.0,4,273,2.0,10,2651,0,1,0,0,0,0,0,1,0,0,1
4.0,5,219,0.0,28,2164,0,0,0,1,0,0,0,1,0,0,1
3.0,1,176,3.0,63,1420,0,0,0,0,1,1,0,0,0,1,0
6.0,5,266,0.0,6,1201,0,0,0,0,1,0,0,1,0,1,0
4.0,4,170,4.0,10,4574,0,0,0,0,1,1,0,0,0,1,0
6.0,4,192,3.0,10,2944,0,0,0,0,1,0,1,0,1,0,0
4.0,2,219,4.0,10,4422,0,0,0,1,0,0,0,1,1,0,0
7.0,5,278,4.0,5,1572,0,0,0,0,1,1,0,0,0,1,0
4.0,3,207,0.0,10,4145,0,0,0,1,0,0,1,0,1,0,0
5.0,3,236,5.0,10,3951,0,0,1,0,0,0,1,0,0,0,1
0.0,1,268,3.0,10,3040,0,0,0,0,1,0,0,1,0,0,1
3.0,2,184,5.0,26,3336,0,0,0,0,1,0,0,1,1,0,0
4.0,1,269,3.0,3,4409,0,0,0,0,1,1,0,0,0,1,0
3.0,4,186,6.0,8,4134,1,0,0,0,0,0,0,1,0,1,0
6.0,3,223,2.0,7,5007,1,0,0,0,0,0,0,1,0,0,1
3.0,2,192,3.0,1,4308,0,1,0,0,0,0,0,1,0,1,0
5.0,5,167,3.0,10,4314,0,1,0,0,0,0,0,1,0,0,1
4.0,3,143,4.0,2,4919,1,0,0,0,0,1,0,0,0,0,1
4.0,1,202,2.0,40,2327,0,0,1,0,0,0,0,1,0,1,0
3.0,1,258,2.0,4,5262,1,0,0,0,0,0,0,1,0,1,0
3.0,5,149,3.0,9,3951,0,0,0,0,1,0,1,0,0,1,0
5.0,1,186,4.0,5,5239,0,0,0,0,1,0,0,1,0,0,1
3.0,5,230,3.0,4,5189,0,1,0,0,0,1,0,0,1,0,0
0.0,4,121,5.0,8,4233,0,0,0,1,0,0,0,1,0,1,0
0.0,5,243,2.0,5,4709,0,0,0,0,1,0,0,1,0,0,1
4.0,4,221,3.0,10,4024,0,0,0,1,0,0,0,1,0,0,1
5.0,5,267,5.0,10,1352,0,0,0,0,1,0,0,1,0,1,0
0.0,5,256,3.0,10,4145,0,1,0,0,0,1,0,0,0,0,1
3.0,3,203,3.0,10,4196,0,0,0,1,0,1,0,0,0,0,1
0.0,3,140,2.0,10,1832,1,0,0,0,0,0,1,0,0,0,1
3.0,2,178,3.0,4,5119,0,1,0,0,0,0,0,1,0,1,0
3.0,1,223,7.0,5,4439,0,0,1,0,0,0,0,1,0,1,0
3.0,5,241,3.0,48,2841,0,0,0,1,0,1,0,0,0,0,1
0.0,5,237,2.0,6,5954,0,0,0,1,0,0,1,0,0,0,1
5.0,1,106,5.0,10,4180,0,0,0,0,1,0,1,0,0,0,1
3.0,3,201,2.0,36,3340,0,1,0,0,0,0,0,1,1,0,0
3.0,3,167,3.0,10,1111,0,0,0,1,0,1,0,0,0,0,1
5.0,3,236,2.0,10,1329,0,1,0,0,0,0,1,0,0,0,1
4.0,3,197,4.0,9,4429,1,0,0,0,0,0,0,1,0,0,1
3.0,1,162,3.0,10,5073,0,0,0,0,1,0,0,1,0,1,0
3.0,3,254,2.0,10,3951,0,1,0,0,0,0,0,1,0,0,1
3.0,2,222,2.0,10,4021,0,0,0,0,1,0,0,1,0,0,1
6.0,3,256,4.0,10,1212,0,0,0,0,1,1,0,0,0,1,0
0.0,3,213,3.0,2,5432,0,1,0,0,0,0,0,1,0,0,1
2.0,4,108,5.0,10,4874,0,0,1,0,0,0,0,1,1,0,0
6.0,2,146,3.0,62,1936,0,0,1,0,0,1,0,0,0,1,0
0.0,4,270,3.0,10,5888,0,0,0,1,0,0,0,1,0,1,0
3.0,4,208,2.0,37,2537,0,0,0,0,1,0,1,0,0,1,0
0.0,3,215,2.0,10,5052,0,0,0,1,0,0,0,1,0,0,1
0.0,2,202,4.0,1,3602,0,1,0,0,0,0,0,1,0,1,0
5.0,3,146,4.0,10,1718,0,0,0,0,1,0,0,1,0,1,0
2.0,4,193,4.0,10,5552,0,0,0,1,0,0,0,1,0,1,0
0.0,3,177,0.0,38,1767,0,0,1,0,0,0,0,1,0,1,0
4.0,3,140,0.0,46,1072,0,0,0,0,1,0,0,1,1,0,0
6.0,5,301,4.0,10,1943,0,0,0,1,0,0,0,1,0,0,1
6.0,3,292,4.0,10,1925,0,0,1,0,0,1,0,0,0,1,0
4.0,1,195,2.0,3,4165,1,0,0,0,0,0,0,1,0,1,0
2.0,5,249,3.0,3,4169,0,0,0,0,1,0,1,0,0,1,0
4.0,3,264,2.0,38,3877,0,0,1,0,0,0,0,1,0,1,0
4.0,1,182,3.0,10,2005,0,0,0,0,1,0,0,1,0,0,1
0.0,1,190,2.0,10,5226,0,0,0,0,1,0,0,1,0,1,0
4.0,5,156,3.0,5,4610,1,0,0,0,0,1,0,0,0,1,0
0.0,4,191,3.0,6,4119,0,1,0,0,0,0,0,1,0,0,1
3.0,3,255,2.0,10,2894,0,0,0,1,0,0,0,1,0,0,1
4.0,3,206,2.0,4,5194,0,0,0,1,0,0,0,1,0,0,1
7.0,5,289,0.0,9,1904,0,1,0,0,0,0,0,1,0,1,0
5.0,4,185,3.0,10,4925,0,0,1,0,0,0,1,0,0,0,1
